Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women  18-69,2015,Upper Bound,178.2,,,,,Women  18-69 - Average minutes,Women,5.075
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Rural Men - Average minutes,Men,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Rural Men,2015,Lower Bound,,,,,,Rural Men - Average minutes,Men,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Rural Men,2015,Upper Bound,,,,,,Rural Men - Average minutes,Men,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Rural Women - Average minutes,Women,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Rural Women,2015,Lower Bound,,,,,,Rural Women - Average minutes,Women,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Rural Women,2015,Upper Bound,,,,,,Rural Women - Average minutes,Women,5.075
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Urban Men - Average minutes,Men,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Urban Men,2015,Lower Bound,,,,,,Urban Men - Average minutes,Men,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Urban Men,2015,Upper Bound,,,,,,Urban Men - Average minutes,Men,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Urban Women - Average minutes,Women,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Urban Women,2015,Lower Bound,,,,,,Urban Women - Average minutes,Women,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Area,Urban Women,2015,Upper Bound,,,,,,Urban Women - Average minutes,Women,5.075
Average and median minutes of total physical activity per day,Average minutes,Total,Total,2015,Estimated,191.5,,viz_total,Average and median minutes of total physical activity per day,table_total,1.Total - Average minutes,,
Average and median minutes of total physical activity per day,Average minutes,Total,Total,2015,Lower Bound,178.8,,,,table_total,1.Total - Average minutes,,
Average and median minutes of total physical activity per day,Average minutes,Total,Total,2015,Upper Bound,204.2,,,,table_total,1.Total - Average minutes,,
Average and median minutes of total physical activity per day,Median minutes,Age,18-29,2015,Estimated,60,,viz_age,Average and median minutes of total physical activity per day,,18-29 - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Age,18-29,2015,Lower Bound,,,,,,18-29 - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Age,18-29,2015,Upper Bound,,,,,,18-29 - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Age,30-49,2015,Estimated,128.6,,viz_age,Average and median minutes of total physical activity per day,,30-49 - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Age,30-49,2015,Lower Bound,,,,,,30-49 - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Age,30-49,2015,Upper Bound,,,,,,30-49 - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Age,50-69,2015,Estimated,70,,viz_age,Average and median minutes of total physical activity per day,,50-69 - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Age,50-69,2015,Lower Bound,,,,,,50-69 - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Age,50-69,2015,Upper Bound,,,,,,50-69 - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Age, 18-69,2015,Estimated,87.9,,viz_age,Average and median minutes of total physical activity per day,, 18-69 - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Age, 18-69,2015,Lower Bound,,,,,, 18-69 - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Age, 18-69,2015,Upper Bound,,,,,, 18-69 - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural 18-29 - Median minutes,Rural,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Median minutes,Rural,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Median minutes,Rural,5.426
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural 30-49 - Median minutes,Rural,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Median minutes,Rural,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Median minutes,Rural,5.426
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural 50-69 - Median minutes,Rural,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Median minutes,Rural,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Median minutes,Rural,5.426
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural  18-69 - Median minutes,Rural,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Median minutes,Rural,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Median minutes,Rural,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban 18-29 - Median minutes,Urban,1.861
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Median minutes,Urban,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Median minutes,Urban,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban 30-49 - Median minutes,Urban,1.861
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Median minutes,Urban,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Median minutes,Urban,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban 50-69 - Median minutes,Urban,1.861
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Median minutes,Urban,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Median minutes,Urban,1.346
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban  18-69 - Median minutes,Urban,1.861
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Median minutes,Urban,9.215
Average and median minutes of total physical activity per day,Median minutes,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Median minutes,Urban,1.346
Average and median minutes of total physical activity per day,Median minutes,Area,Rural,2015,Estimated,83.5,,viz_area,Average and median minutes of total physical activity per day,,Rural - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Area,Rural,2015,Lower Bound,,,,,,Rural - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Area,Rural,2015,Upper Bound,,,,,,Rural - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Area,Urban,2015,Estimated,92.3,,viz_area,Average and median minutes of total physical activity per day,,Urban - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Area,Urban,2015,Lower Bound,,,,,,Urban - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Area,Urban,2015,Upper Bound,,,,,,Urban - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex,Men,2015,Estimated,137.1,,viz_sex,Average and median minutes of total physical activity per day,table_total,Men - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Sex,Men,2015,Lower Bound,,,,,table_total,Men - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex,Men,2015,Upper Bound,,,,,table_total,Men - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex,Women,2015,Estimated,51.4,,viz_sex,Average and median minutes of total physical activity per day,table_total,Women - Median minutes,Total,4.875
Average and median minutes of total physical activity per day,Median minutes,Sex,Women,2015,Lower Bound,,,,,table_total,Women - Median minutes,Total,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex,Women,2015,Upper Bound,,,,,table_total,Women - Median minutes,Total,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 18-29,2015,Estimated,150,,viz_men_age,Average and median minutes of total physical activity per day,,Men 18-29 - Median minutes,Men,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 18-29,2015,Lower Bound,,,,,,Men 18-29 - Median minutes,Men,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 18-29,2015,Upper Bound,,,,,,Men 18-29 - Median minutes,Men,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 30-49,2015,Estimated,180,,viz_men_age,Average and median minutes of total physical activity per day,,Men 30-49 - Median minutes,Men,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 30-49,2015,Lower Bound,,,,,,Men 30-49 - Median minutes,Men,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 30-49,2015,Upper Bound,,,,,,Men 30-49 - Median minutes,Men,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 50-69,2015,Estimated,85.7,,viz_men_age,Average and median minutes of total physical activity per day,,Men 50-69 - Median minutes,Men,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 50-69,2015,Lower Bound,,,,,,Men 50-69 - Median minutes,Men,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men 50-69,2015,Upper Bound,,,,,,Men 50-69 - Median minutes,Men,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men  18-69,2015,Estimated,137.1,,viz_men_age,Average and median minutes of total physical activity per day,,Men  18-69 - Median minutes,Men,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men  18-69,2015,Lower Bound,,,,,,Men  18-69 - Median minutes,Men,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Men  18-69,2015,Upper Bound,,,,,,Men  18-69 - Median minutes,Men,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 18-29,2015,Estimated,21.4,,viz_women_age,Average and median minutes of total physical activity per day,,Women 18-29 - Median minutes,Women,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 18-29,2015,Lower Bound,,,,,,Women 18-29 - Median minutes,Women,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 18-29,2015,Upper Bound,,,,,,Women 18-29 - Median minutes,Women,11.46
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 30-49,2015,Estimated,70,,viz_women_age,Average and median minutes of total physical activity per day,,Women 30-49 - Median minutes,Women,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 30-49,2015,Lower Bound,,,,,,Women 30-49 - Median minutes,Women,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 30-49,2015,Upper Bound,,,,,,Women 30-49 - Median minutes,Women,11.46
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 50-69,2015,Estimated,65.7,,viz_women_age,Average and median minutes of total physical activity per day,,Women 50-69 - Median minutes,Women,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 50-69,2015,Lower Bound,,,,,,Women 50-69 - Median minutes,Women,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women 50-69,2015,Upper Bound,,,,,,Women 50-69 - Median minutes,Women,11.46
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women  18-69,2015,Estimated,51.4,,viz_women_age,Average and median minutes of total physical activity per day,,Women  18-69 - Median minutes,Women,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women  18-69,2015,Lower Bound,,,,,,Women  18-69 - Median minutes,Women,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Age,Women  18-69,2015,Upper Bound,,,,,,Women  18-69 - Median minutes,Women,11.46
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Rural Men - Median minutes,Men,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Rural Men,2015,Lower Bound,,,,,,Rural Men - Median minutes,Men,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Rural Men,2015,Upper Bound,,,,,,Rural Men - Median minutes,Men,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Rural Women - Median minutes,Women,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Rural Women,2015,Lower Bound,,,,,,Rural Women - Median minutes,Women,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Rural Women,2015,Upper Bound,,,,,,Rural Women - Median minutes,Women,11.46
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Urban Men - Median minutes,Men,5.075
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Urban Men,2015,Lower Bound,,,,,,Urban Men - Median minutes,Men,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Urban Men,2015,Upper Bound,,,,,,Urban Men - Median minutes,Men,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,Average and median minutes of total physical activity per day,,Urban Women - Median minutes,Women,11.01
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Urban Women,2015,Lower Bound,,,,,,Urban Women - Median minutes,Women,4.938
Average and median minutes of total physical activity per day,Median minutes,Sex by Area,Urban Women,2015,Upper Bound,,,,,,Urban Women - Median minutes,Women,11.46
Average and median minutes of total physical activity per day,Median minutes,Total,Total,2015,Estimated,87.9,,viz_total,Average and median minutes of total physical activity per day,table_total,1.Total - Median minutes,,
Average and median minutes of total physical activity per day,Median minutes,Total,Total,2015,Lower Bound,,,,,table_total,1.Total - Median minutes,,
Average and median minutes of total physical activity per day,Median minutes,Total,Total,2015,Upper Bound,,,,,table_total,1.Total - Median minutes,,
Average minutes of recreation-related physical activity per day,Average minutes of recreation-related physical activity,Age,18-29,2015,Estimated,11.5,,viz_age,Average minutes of recreation-related physical activity per day,,18-29 - Average minutes of recreation-related physical activity,Total,1.346
Average minutes of recreation-related physical activity per day,Average minutes of recreation-related physical activity,Age,18-29,2015,Lower Bound,9.3,,,,,18-29 - Average minutes of recreation-related physical activity,Total,5.426
Average minutes of recreation-related physical activity per day,Average minutes of recreation-related physical activity,Age,18-29,2015,Upper Bound,13.7,,,,,18-29 - Average minutes of recreation-related physical activity,Total,9.884
Average minutes of recreation-related physical activity per day,Average minutes of recreation-related physical activity,Age,30-49,2015,Estimated,10.6,,viz_age,Average minutes of recreation-related physical activity per day,,30-49 - Average minutes of recreation-related physical activity,Total,1.346
Average minutes of recreation-related physical activity per day,Average minutes of recreation-related physical activity,Age,30-49,2015,Lower Bound,9,,,,,30-49 - Average minutes of recreation-related physical activity,Total,5.426
Average minutes of recreation-related physical activity per day,Average minutes of recreation-related physical activity,Age,30-49,2015,Upper Bound,12.2,,,,,30-49 - Average minutes of recreation-related physical activity,Total,9.884
