Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 4,2015,Estimated,1.558,1925527,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.85
Percentage who have had their blood pressure measured,Never measured,Total,Total,2015,Lower Bound,39.66,49015665,,,"",
Percentage who have had their blood pressure measured,Never measured,Sex,Men,2015,Lower Bound,15.07,18624964,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Sex,Women,2015,Lower Bound,21.68,26794241,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 1,2015,Lower Bound,9.56,11815173,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 2,2015,Lower Bound,2.651,3276362,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 3,2015,Lower Bound,15.85,19588963,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 4,2015,Lower Bound,18.1,22369731,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Area,Urban,2015,Lower Bound,50.23,62079093,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Area,Rural,2015,Lower Bound,90.62,111996963,,,Total,39.66
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 1,2015,Lower Bound,10.29,12717377,,,Women,21.68
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 2,2015,Lower Bound,30.2,37324082,,,Women,21.68
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 3,2015,Lower Bound,57.06,70520268,,,Women,21.68
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 4,2015,Lower Bound,1.558,1925527,,,Women,21.68
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 1,2015,Lower Bound,39.66,49015665,,,Men,15.07
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 2,2015,Lower Bound,15.07,18624964,,,Men,15.07
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 3,2015,Lower Bound,21.68,26794241,,,Men,15.07
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 4,2015,Lower Bound,9.56,11815173,,,Men,15.07
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Urban Men,2015,Lower Bound,2.651,3276362,,,Men,15.07
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Rural Men,2015,Lower Bound,15.85,19588963,,,Men,15.07
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Urban Women,2015,Lower Bound,18.1,22369731,,,Women,21.68
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Rural Women,2015,Lower Bound,50.23,62079093,,,Women,21.68
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 1,2015,Lower Bound,90.62,111996963,,,Urban,50.23
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 1,2015,Lower Bound,10.29,12717377,,,Rural,90.62
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 2,2015,Lower Bound,30.2,37324082,,,Urban,50.23
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 2,2015,Lower Bound,57.06,70520268,,,Rural,90.62
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 3,2015,Lower Bound,1.558,1925527,,,Urban,50.23
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 3,2015,Lower Bound,39.66,49015665,,,Rural,90.62
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 4,2015,Lower Bound,15.07,18624964,,,Urban,50.23
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 4,2015,Lower Bound,21.68,26794241,,,Rural,90.62
Percentage who have had their blood pressure measured,Never measured,Total,Total,2015,Upper Bound,9.56,11815173,,,"",
Percentage who have had their blood pressure measured,Never measured,Sex,Men,2015,Upper Bound,2.651,3276362,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Sex,Women,2015,Upper Bound,15.85,19588963,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 1,2015,Upper Bound,18.1,22369731,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 2,2015,Upper Bound,50.23,62079093,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 3,2015,Upper Bound,90.62,111996963,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 4,2015,Upper Bound,10.29,12717377,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Area,Urban,2015,Upper Bound,30.2,37324082,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Area,Rural,2015,Upper Bound,57.06,70520268,,,Total,9.56
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 1,2015,Upper Bound,1.558,1925527,,,Women,15.85
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 2,2015,Upper Bound,39.66,49015665,,,Women,15.85
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 3,2015,Upper Bound,15.07,18624964,,,Women,15.85
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 4,2015,Upper Bound,21.68,26794241,,,Women,15.85
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 1,2015,Upper Bound,9.56,11815173,,,Men,2.651
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 2,2015,Upper Bound,2.651,3276362,,,Men,2.651
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 3,2015,Upper Bound,15.85,19588963,,,Men,2.651
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 4,2015,Upper Bound,18.1,22369731,,,Men,2.651
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Urban Men,2015,Upper Bound,50.23,62079093,,,Men,2.651
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Rural Men,2015,Upper Bound,90.62,111996963,,,Men,2.651
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Urban Women,2015,Upper Bound,10.29,12717377,,,Women,15.85
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Rural Women,2015,Upper Bound,30.2,37324082,,,Women,15.85
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 1,2015,Upper Bound,57.06,70520268,,,Urban,30.2
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 1,2015,Upper Bound,1.558,1925527,,,Rural,57.06
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 2,2015,Upper Bound,39.66,49015665,,,Urban,30.2
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 2,2015,Upper Bound,15.07,18624964,,,Rural,57.06
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 3,2015,Upper Bound,21.68,26794241,,,Urban,30.2
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 3,2015,Upper Bound,9.56,11815173,,,Rural,57.06
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 4,2015,Upper Bound,2.651,3276362,,,Urban,30.2
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 4,2015,Lower Bound,15.85,19588963,,,Rural,90.62
Percentage who have had their blood pressure measured,Measured,Total,Total,2015,Estimated,18.1,22369731,viz_total,Percentage who have had their blood pressure measured,"",
Percentage who have had their blood pressure measured,Measured,Sex,Men,2015,Estimated,50.23,62079093,viz_sex,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Sex,Women,2015,Estimated,90.62,111996963,viz_sex,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Age,Age Group 1,2015,Estimated,10.29,12717377,viz_age,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Age,Age Group 2,2015,Estimated,30.2,37324082,viz_age,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Age,Age Group 3,2015,Estimated,57.06,70520268,viz_age,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Age,Age Group 4,2015,Estimated,1.558,1925527,viz_age,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Area,Urban,2015,Estimated,39.66,49015665,viz_area,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Area,Rural,2015,Estimated,15.07,18624964,viz_area,Percentage who have had their blood pressure measured,Total,18.1
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 1,2015,Estimated,21.68,26794241,viz_women_age,Percentage who have had their blood pressure measured,Women,90.62
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 2,2015,Estimated,9.56,11815173,viz_women_age,Percentage who have had their blood pressure measured,Women,90.62
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 3,2015,Estimated,2.651,3276362,viz_women_age,Percentage who have had their blood pressure measured,Women,90.62
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 4,2015,Estimated,15.85,19588963,viz_women_age,Percentage who have had their blood pressure measured,Women,90.62
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 1,2015,Estimated,18.1,22369731,viz_men_age,Percentage who have had their blood pressure measured,Men,50.23
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 2,2015,Estimated,50.23,62079093,viz_men_age,Percentage who have had their blood pressure measured,Men,50.23
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 3,2015,Estimated,90.62,111996963,viz_men_age,Percentage who have had their blood pressure measured,Men,50.23
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 4,2015,Estimated,10.29,12717377,viz_men_age,Percentage who have had their blood pressure measured,Men,50.23
Percentage who have had their blood pressure measured,Measured,Sex by Area,Urban Men,2015,Estimated,30.2,37324082,viz_sex_area,Percentage who have had their blood pressure measured,Men,50.23
Percentage who have had their blood pressure measured,Measured,Sex by Area,Rural Men,2015,Estimated,57.06,70520268,viz_sex_area,Percentage who have had their blood pressure measured,Men,50.23
Percentage who have had their blood pressure measured,Measured,Sex by Area,Urban Women,2015,Estimated,1.558,1925527,viz_sex_area,Percentage who have had their blood pressure measured,Women,90.62
Percentage who have had their blood pressure measured,Measured,Sex by Area,Rural Women,2015,Estimated,39.66,49015665,viz_sex_area,Percentage who have had their blood pressure measured,Women,90.62
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 1,2015,Estimated,15.07,18624964,viz_age_area,Percentage who have had their blood pressure measured,Urban,39.66
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 1,2015,Estimated,21.68,26794241,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.07
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 2,2015,Estimated,9.56,11815173,viz_age_area,Percentage who have had their blood pressure measured,Urban,39.66
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 2,2015,Estimated,2.651,3276362,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.07
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 3,2015,Estimated,15.85,19588963,viz_age_area,Percentage who have had their blood pressure measured,Urban,39.66
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 3,2015,Estimated,18.1,22369731,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.07
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 4,2015,Estimated,50.23,62079093,viz_age_area,Percentage who have had their blood pressure measured,Urban,39.66
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 4,2015,Estimated,90.62,111996963,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.07
Percentage who have had their blood pressure measured,Measured,Total,Total,2015,Lower Bound,10.29,12717377,,,"",
Percentage who have had their blood pressure measured,Measured,Sex,Men,2015,Lower Bound,30.2,37324082,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Sex,Women,2015,Lower Bound,57.06,70520268,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Age,Age Group 1,2015,Lower Bound,1.558,1925527,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Age,Age Group 2,2015,Lower Bound,39.66,49015665,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Age,Age Group 3,2015,Lower Bound,15.07,18624964,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Age,Age Group 4,2015,Lower Bound,21.68,26794241,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Area,Urban,2015,Lower Bound,9.56,11815173,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Area,Rural,2015,Lower Bound,2.651,3276362,,,Total,10.29
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 1,2015,Lower Bound,15.85,19588963,,,Women,57.06
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 2,2015,Lower Bound,18.1,22369731,,,Women,57.06
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 3,2015,Lower Bound,50.23,62079093,,,Women,57.06
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 4,2015,Lower Bound,90.62,111996963,,,Women,57.06
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 1,2015,Lower Bound,10.29,12717377,,,Men,30.2
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 2,2015,Lower Bound,30.2,37324082,,,Men,30.2
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 3,2015,Lower Bound,57.06,70520268,,,Men,30.2
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 4,2015,Lower Bound,1.558,1925527,,,Men,30.2
Percentage who have had their blood pressure measured,Measured,Sex by Area,Urban Men,2015,Lower Bound,39.66,49015665,,,Men,30.2
Percentage who have had their blood pressure measured,Measured,Sex by Area,Rural Men,2015,Lower Bound,15.07,18624964,,,Men,30.2
Percentage who have had their blood pressure measured,Measured,Sex by Area,Urban Women,2015,Lower Bound,21.68,26794241,,,Women,57.06
Percentage who have had their blood pressure measured,Measured,Sex by Area,Rural Women,2015,Lower Bound,9.56,11815173,,,Women,57.06
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 1,2015,Lower Bound,2.651,3276362,,,Urban,9.56
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 1,2015,Lower Bound,15.85,19588963,,,Rural,2.651
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 2,2015,Lower Bound,18.1,22369731,,,Urban,9.56
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 2,2015,Lower Bound,50.23,62079093,,,Rural,2.651
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 3,2015,Lower Bound,90.62,111996963,,,Urban,9.56
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 3,2015,Lower Bound,10.29,12717377,,,Rural,2.651
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 4,2015,Lower Bound,30.2,37324082,,,Urban,9.56
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 4,2015,Lower Bound,57.06,70520268,,,Rural,2.651
Percentage who have had their blood pressure measured,Measured,Total,Total,2015,Upper Bound,1.558,1925527,,,"",
Percentage who have had their blood pressure measured,Measured,Sex,Men,2015,Upper Bound,39.66,49015665,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Sex,Women,2015,Upper Bound,15.07,18624964,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Age,Age Group 1,2015,Upper Bound,21.68,26794241,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Age,Age Group 2,2015,Upper Bound,9.56,11815173,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Age,Age Group 3,2015,Upper Bound,2.651,3276362,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Age,Age Group 4,2015,Upper Bound,15.85,19588963,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Area,Urban,2015,Upper Bound,18.1,22369731,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Area,Rural,2015,Upper Bound,50.23,62079093,,,Total,1.558
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 1,2015,Upper Bound,90.62,111996963,,,Women,15.07
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 2,2015,Upper Bound,10.29,12717377,,,Women,15.07
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 3,2015,Upper Bound,30.2,37324082,,,Women,15.07
Percentage who have had their blood pressure measured,Measured,Sex by Age,Women Age Group 4,2015,Upper Bound,57.06,70520268,,,Women,15.07
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 1,2015,Upper Bound,1.558,1925527,,,Men,39.66
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 2,2015,Upper Bound,39.66,49015665,,,Men,39.66
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 3,2015,Upper Bound,15.07,18624964,,,Men,39.66
Percentage who have had their blood pressure measured,Measured,Sex by Age,Men Age Group 4,2015,Upper Bound,21.68,26794241,,,Men,39.66
Percentage who have had their blood pressure measured,Measured,Sex by Area,Urban Men,2015,Upper Bound,9.56,11815173,,,Men,39.66
Percentage who have had their blood pressure measured,Measured,Sex by Area,Rural Men,2015,Upper Bound,2.651,3276362,,,Men,39.66
Percentage who have had their blood pressure measured,Measured,Sex by Area,Urban Women,2015,Upper Bound,15.85,19588963,,,Women,15.07
Percentage who have had their blood pressure measured,Measured,Sex by Area,Rural Women,2015,Upper Bound,18.1,22369731,,,Women,15.07
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 1,2015,Upper Bound,50.23,62079093,,,Urban,18.1
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 1,2015,Upper Bound,90.62,111996963,,,Rural,50.23
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 2,2015,Upper Bound,10.29,12717377,,,Urban,18.1
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 2,2015,Upper Bound,30.2,37324082,,,Rural,50.23
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 3,2015,Upper Bound,57.06,70520268,,,Urban,18.1
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 3,2015,Upper Bound,1.558,1925527,,,Rural,50.23
Percentage who have had their blood pressure measured,Measured,Age by Area,Urban Age Group 4,2015,Upper Bound,39.66,49015665,,,Urban,18.1
Percentage who have had their blood pressure measured,Measured,Age by Area,Rural Age Group 4,2015,Lower Bound,15.07,18624964,,,Rural,2.651
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Total,Total,2015,Estimated,21.68,26794241,viz_total,Percentage who have had their blood pressure measured but not diagnosed,"",
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex,Men,2015,Estimated,9.56,11815173,viz_sex,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex,Women,2015,Estimated,2.651,3276362,viz_sex,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Age,Age Group 1,2015,Estimated,15.85,19588963,viz_age,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Age,Age Group 2,2015,Estimated,18.1,22369731,viz_age,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Age,Age Group 3,2015,Estimated,50.23,62079093,viz_age,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Age,Age Group 4,2015,Estimated,90.62,111996963,viz_age,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Area,Urban,2015,Estimated,10.29,12717377,viz_area,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Area,Rural,2015,Estimated,30.2,37324082,viz_area,Percentage who have had their blood pressure measured but not diagnosed,Total,21.68
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women Age Group 1,2015,Estimated,57.06,70520268,viz_women_age,Percentage who have had their blood pressure measured but not diagnosed,Women,2.651
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women Age Group 2,2015,Estimated,1.558,1925527,viz_women_age,Percentage who have had their blood pressure measured but not diagnosed,Women,2.651
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women Age Group 3,2015,Estimated,39.66,49015665,viz_women_age,Percentage who have had their blood pressure measured but not diagnosed,Women,2.651
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women Age Group 4,2015,Estimated,15.07,18624964,viz_women_age,Percentage who have had their blood pressure measured but not diagnosed,Women,2.651
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men Age Group 1,2015,Estimated,21.68,26794241,viz_men_age,Percentage who have had their blood pressure measured but not diagnosed,Men,9.56
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men Age Group 2,2015,Estimated,9.56,11815173,viz_men_age,Percentage who have had their blood pressure measured but not diagnosed,Men,9.56
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men Age Group 3,2015,Estimated,2.651,3276362,viz_men_age,Percentage who have had their blood pressure measured but not diagnosed,Men,9.56
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men Age Group 4,2015,Estimated,15.85,19588963,viz_men_age,Percentage who have had their blood pressure measured but not diagnosed,Men,9.56
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Urban Men,2015,Estimated,18.1,22369731,viz_sex_area,Percentage who have had their blood pressure measured but not diagnosed,Men,9.56
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Rural Men,2015,Estimated,50.23,62079093,viz_sex_area,Percentage who have had their blood pressure measured but not diagnosed,Men,9.56
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Urban Women,2015,Estimated,90.62,111996963,viz_sex_area,Percentage who have had their blood pressure measured but not diagnosed,Women,2.651
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Rural Women,2015,Estimated,10.29,12717377,viz_sex_area,Percentage who have had their blood pressure measured but not diagnosed,Women,2.651
Percentage who have had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Urban Age Group 1,2015,Estimated,30.2,37324082,viz_age_area,Percentage who have had their blood pressure measured but not diagnosed,Urban,10.29
