Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 1,2015,Upper Bound,17.55,21689988,,,Total,4.7
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 2,2015,Upper Bound,44.11,54515405,,,Total,4.7
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 3,2015,Upper Bound,75.03,92729332,,,Total,4.7
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 4,2015,Upper Bound,47.13,58247813,,,Total,4.7
Percentage who currently use tobacco in any form,Prevalence (any form),Area,Urban,2015,Upper Bound,18.91,23370807,,,Total,4.7
Percentage who currently use tobacco in any form,Prevalence (any form),Area,Rural,2015,Upper Bound,15.21,18797989,,,Total,4.7
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 1,2015,Upper Bound,88.75,109685836,,,Women,89.73
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 2,2015,Upper Bound,49.31,60942068,,,Women,89.73
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 3,2015,Upper Bound,3.523,4354064,,,Women,89.73
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 4,2015,Upper Bound,52.11,64402579,,,Women,89.73
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 1,2015,Upper Bound,66.32,81964672,,,Men,92.85
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 2,2015,Upper Bound,6.06,7489534,,,Men,92.85
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 3,2015,Upper Bound,13.34,16486863,,,Men,92.85
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 4,2015,Upper Bound,36.12,44640590,,,Men,92.85
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Urban Men,2015,Upper Bound,82.34,101763738,,,Men,92.85
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Rural Men,2015,Upper Bound,91.42,112985680,,,Men,92.85
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Urban Women,2015,Upper Bound,99.3,122724546,,,Women,89.73
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Rural Women,2015,Upper Bound,80.81,99872816,,,Women,89.73
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 1,2015,Upper Bound,84.02,103840044,,,Urban,18.91
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 1,2015,Upper Bound,73.25,90529436,,,Rural,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 2,2015,Upper Bound,84.57,104519787,,,Urban,18.91
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 2,2015,Upper Bound,92.59,114431679,,,Rural,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 3,2015,Upper Bound,51.45,63586887,,,Urban,18.91
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 3,2015,Upper Bound,80.15,99057124,,,Rural,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 4,2015,Upper Bound,77.09,95275280,,,Urban,18.91
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 4,2015,Lower Bound,3.961,4895387,,,Rural,52.11
Percentage who currently smoke tobacco,Prevalence (smoke),Total,Total,2015,Estimated,32.3,39919465,viz_total,Percentage who currently smoke tobacco,"",
Percentage who currently smoke tobacco,Prevalence (smoke),Sex,Men,2015,Estimated,32.36,39993619,viz_sex,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Sex,Women,2015,Estimated,10.96,13545428,viz_sex,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 1,2015,Estimated,73.22,90492359,viz_age,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 2,2015,Estimated,4.7,5808715,viz_age,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 3,2015,Estimated,92.85,114753012,viz_age,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 4,2015,Estimated,89.73,110897014,viz_age,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Area,Urban,2015,Estimated,17.55,21689988,viz_area,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Area,Rural,2015,Estimated,44.11,54515405,viz_area,Percentage who currently smoke tobacco,Total,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 1,2015,Estimated,75.03,92729332,viz_women_age,Percentage who currently smoke tobacco,Women,10.96
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 2,2015,Estimated,47.13,58247813,viz_women_age,Percentage who currently smoke tobacco,Women,10.96
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 3,2015,Estimated,18.91,23370807,viz_women_age,Percentage who currently smoke tobacco,Women,10.96
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 4,2015,Estimated,15.21,18797989,viz_women_age,Percentage who currently smoke tobacco,Women,10.96
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 1,2015,Estimated,88.75,109685836,viz_men_age,Percentage who currently smoke tobacco,Men,32.36
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 2,2015,Estimated,49.31,60942068,viz_men_age,Percentage who currently smoke tobacco,Men,32.36
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 3,2015,Estimated,3.523,4354064,viz_men_age,Percentage who currently smoke tobacco,Men,32.36
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 4,2015,Estimated,52.11,64402579,viz_men_age,Percentage who currently smoke tobacco,Men,32.36
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Urban Men,2015,Estimated,66.32,81964672,viz_sex_area,Percentage who currently smoke tobacco,Men,32.36
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Rural Men,2015,Estimated,6.06,7489534,viz_sex_area,Percentage who currently smoke tobacco,Men,32.36
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Urban Women,2015,Estimated,13.34,16486863,viz_sex_area,Percentage who currently smoke tobacco,Women,10.96
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Rural Women,2015,Estimated,36.12,44640590,viz_sex_area,Percentage who currently smoke tobacco,Women,10.96
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 1,2015,Estimated,82.34,101763738,viz_age_area,Percentage who currently smoke tobacco,Urban,17.55
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 1,2015,Estimated,91.42,112985680,viz_age_area,Percentage who currently smoke tobacco,Rural,44.11
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 2,2015,Estimated,99.3,122724546,viz_age_area,Percentage who currently smoke tobacco,Urban,17.55
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 2,2015,Estimated,80.81,99872816,viz_age_area,Percentage who currently smoke tobacco,Rural,44.11
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 3,2015,Estimated,84.02,103840044,viz_age_area,Percentage who currently smoke tobacco,Urban,17.55
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 3,2015,Estimated,73.25,90529436,viz_age_area,Percentage who currently smoke tobacco,Rural,44.11
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 4,2015,Estimated,84.57,104519787,viz_age_area,Percentage who currently smoke tobacco,Urban,17.55
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 4,2015,Estimated,92.59,114431679,viz_age_area,Percentage who currently smoke tobacco,Rural,44.11
Percentage who currently smoke tobacco,Prevalence (smoke),Total,Total,2015,Lower Bound,51.45,63586887,,,"",
Percentage who currently smoke tobacco,Prevalence (smoke),Sex,Men,2015,Lower Bound,80.15,99057124,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Sex,Women,2015,Lower Bound,77.09,95275280,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 1,2015,Lower Bound,3.961,4895387,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 2,2015,Lower Bound,32.3,39919465,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 3,2015,Lower Bound,32.36,39993619,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 4,2015,Lower Bound,10.96,13545428,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Area,Urban,2015,Lower Bound,73.22,90492359,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Area,Rural,2015,Lower Bound,4.7,5808715,,,Total,51.45
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 1,2015,Lower Bound,92.85,114753012,,,Women,77.09
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 2,2015,Lower Bound,89.73,110897014,,,Women,77.09
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 3,2015,Lower Bound,17.55,21689988,,,Women,77.09
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 4,2015,Lower Bound,44.11,54515405,,,Women,77.09
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 1,2015,Lower Bound,75.03,92729332,,,Men,80.15
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 2,2015,Lower Bound,47.13,58247813,,,Men,80.15
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 3,2015,Lower Bound,18.91,23370807,,,Men,80.15
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 4,2015,Lower Bound,15.21,18797989,,,Men,80.15
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Urban Men,2015,Lower Bound,88.75,109685836,,,Men,80.15
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Rural Men,2015,Lower Bound,49.31,60942068,,,Men,80.15
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Urban Women,2015,Lower Bound,3.523,4354064,,,Women,77.09
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Rural Women,2015,Lower Bound,52.11,64402579,,,Women,77.09
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 1,2015,Lower Bound,66.32,81964672,,,Urban,73.22
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 1,2015,Lower Bound,6.06,7489534,,,Rural,4.7
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 2,2015,Lower Bound,13.34,16486863,,,Urban,73.22
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 2,2015,Lower Bound,36.12,44640590,,,Rural,4.7
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 3,2015,Lower Bound,82.34,101763738,,,Urban,73.22
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 3,2015,Lower Bound,91.42,112985680,,,Rural,4.7
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 4,2015,Lower Bound,99.3,122724546,,,Urban,73.22
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 4,2015,Lower Bound,80.81,99872816,,,Rural,4.7
Percentage who currently smoke tobacco,Prevalence (smoke),Total,Total,2015,Upper Bound,84.02,103840044,,,"",
Percentage who currently smoke tobacco,Prevalence (smoke),Sex,Men,2015,Upper Bound,73.25,90529436,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Sex,Women,2015,Upper Bound,84.57,104519787,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 1,2015,Upper Bound,92.59,114431679,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 2,2015,Upper Bound,51.45,63586887,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 3,2015,Upper Bound,80.15,99057124,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Age,Age Group 4,2015,Upper Bound,77.09,95275280,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Area,Urban,2015,Upper Bound,3.961,4895387,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Area,Rural,2015,Upper Bound,32.3,39919465,,,Total,84.02
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 1,2015,Upper Bound,32.36,39993619,,,Women,84.57
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 2,2015,Upper Bound,10.96,13545428,,,Women,84.57
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 3,2015,Upper Bound,73.22,90492359,,,Women,84.57
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Women Age Group 4,2015,Upper Bound,4.7,5808715,,,Women,84.57
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 1,2015,Upper Bound,92.85,114753012,,,Men,73.25
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 2,2015,Upper Bound,89.73,110897014,,,Men,73.25
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 3,2015,Upper Bound,17.55,21689988,,,Men,73.25
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Age,Men Age Group 4,2015,Upper Bound,44.11,54515405,,,Men,73.25
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Urban Men,2015,Upper Bound,75.03,92729332,,,Men,73.25
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Rural Men,2015,Upper Bound,47.13,58247813,,,Men,73.25
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Urban Women,2015,Upper Bound,18.91,23370807,,,Women,84.57
Percentage who currently smoke tobacco,Prevalence (smoke),Sex by Area,Rural Women,2015,Upper Bound,15.21,18797989,,,Women,84.57
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 1,2015,Upper Bound,88.75,109685836,,,Urban,3.961
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 1,2015,Upper Bound,49.31,60942068,,,Rural,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 2,2015,Upper Bound,3.523,4354064,,,Urban,3.961
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 2,2015,Upper Bound,52.11,64402579,,,Rural,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 3,2015,Upper Bound,66.32,81964672,,,Urban,3.961
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 3,2015,Upper Bound,6.06,7489534,,,Rural,32.3
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Urban Age Group 4,2015,Upper Bound,13.34,16486863,,,Urban,3.961
Percentage who currently smoke tobacco,Prevalence (smoke),Age by Area,Rural Age Group 4,2015,Lower Bound,36.12,44640590,,,Rural,4.7
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Total,Total,2015,Estimated,82.34,101763738,viz_total,Percentage who currently smoke tobacco daily among total population,"",
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex,Men,2015,Estimated,91.42,112985680,viz_sex,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex,Women,2015,Estimated,99.3,122724546,viz_sex,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Age,Age Group 1,2015,Estimated,80.81,99872816,viz_age,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Age,Age Group 2,2015,Estimated,84.02,103840044,viz_age,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Age,Age Group 3,2015,Estimated,73.25,90529436,viz_age,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Age,Age Group 4,2015,Estimated,84.57,104519787,viz_age,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Area,Urban,2015,Estimated,92.59,114431679,viz_area,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Area,Rural,2015,Estimated,51.45,63586887,viz_area,Percentage who currently smoke tobacco daily among total population,Total,82.34
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex by Age,Women Age Group 1,2015,Estimated,80.15,99057124,viz_women_age,Percentage who currently smoke tobacco daily among total population,Women,99.3
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex by Age,Women Age Group 2,2015,Estimated,77.09,95275280,viz_women_age,Percentage who currently smoke tobacco daily among total population,Women,99.3
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex by Age,Women Age Group 3,2015,Estimated,3.961,4895387,viz_women_age,Percentage who currently smoke tobacco daily among total population,Women,99.3
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex by Age,Women Age Group 4,2015,Estimated,32.3,39919465,viz_women_age,Percentage who currently smoke tobacco daily among total population,Women,99.3
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex by Age,Men Age Group 1,2015,Estimated,32.36,39993619,viz_men_age,Percentage who currently smoke tobacco daily among total population,Men,91.42
Percentage who currently smoke tobacco daily among total population,Prevalence smoke daily,Sex by Age,Men Age Group 2,2015,Estimated,10.96,13545428,viz_men_age,Percentage who currently smoke tobacco daily among total population,Men,91.42
