Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 1,2015,Upper Bound,21.43,26485267,,,Urban,56.52
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 1,2015,Upper Bound,56.52,69852884,,,Rural,83.01
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 2,2015,Upper Bound,83.01,102591788,,,Urban,56.52
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 2,2015,Upper Bound,29.75,36767928,,,Rural,83.01
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 3,2015,Upper Bound,14.51,17932862,,,Urban,56.52
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 3,2015,Upper Bound,10.4,12853326,,,Rural,83.01
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 4,2015,Upper Bound,36.23,44776539,,,Urban,56.52
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 4,2015,Lower Bound,73.66,91036154,,,Rural,29.75
Percentage who have had their cholesterol measured,Measured,Total,Total,2015,Estimated,91.46,113035116,viz_total,Percentage who have had their cholesterol measured,"",
Percentage who have had their cholesterol measured,Measured,Sex,Men,2015,Estimated,7.51,9281585,viz_sex,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Sex,Women,2015,Estimated,80.43,99403175,viz_sex,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Age,Age Group 1,2015,Estimated,23.56,29117727,viz_age,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Age,Age Group 2,2015,Estimated,36.17,44702385,viz_age,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Age,Age Group 3,2015,Estimated,73.37,90677744,viz_age,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Age,Age Group 4,2015,Estimated,53.28,65848578,viz_age,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Area,Urban,2015,Estimated,21.43,26485267,viz_area,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Area,Rural,2015,Estimated,56.52,69852884,viz_area,Percentage who have had their cholesterol measured,Total,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 1,2015,Estimated,83.01,102591788,viz_women_age,Percentage who have had their cholesterol measured,Women,80.43
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 2,2015,Estimated,29.75,36767928,viz_women_age,Percentage who have had their cholesterol measured,Women,80.43
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 3,2015,Estimated,14.51,17932862,viz_women_age,Percentage who have had their cholesterol measured,Women,80.43
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 4,2015,Estimated,10.4,12853326,viz_women_age,Percentage who have had their cholesterol measured,Women,80.43
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 1,2015,Estimated,36.23,44776539,viz_men_age,Percentage who have had their cholesterol measured,Men,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 2,2015,Estimated,73.66,91036154,viz_men_age,Percentage who have had their cholesterol measured,Men,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 3,2015,Estimated,91.46,113035116,viz_men_age,Percentage who have had their cholesterol measured,Men,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 4,2015,Estimated,7.51,9281585,viz_men_age,Percentage who have had their cholesterol measured,Men,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Area,Urban Men,2015,Estimated,80.43,99403175,viz_sex_area,Percentage who have had their cholesterol measured,Men,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Area,Rural Men,2015,Estimated,23.56,29117727,viz_sex_area,Percentage who have had their cholesterol measured,Men,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Area,Urban Women,2015,Estimated,36.17,44702385,viz_sex_area,Percentage who have had their cholesterol measured,Women,80.43
Percentage who have had their cholesterol measured,Measured,Sex by Area,Rural Women,2015,Estimated,73.37,90677744,viz_sex_area,Percentage who have had their cholesterol measured,Women,80.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 1,2015,Estimated,53.28,65848578,viz_age_area,Percentage who have had their cholesterol measured,Urban,21.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 1,2015,Estimated,21.43,26485267,viz_age_area,Percentage who have had their cholesterol measured,Rural,56.52
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 2,2015,Estimated,56.52,69852884,viz_age_area,Percentage who have had their cholesterol measured,Urban,21.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 2,2015,Estimated,83.01,102591788,viz_age_area,Percentage who have had their cholesterol measured,Rural,56.52
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 3,2015,Estimated,29.75,36767928,viz_age_area,Percentage who have had their cholesterol measured,Urban,21.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 3,2015,Estimated,14.51,17932862,viz_age_area,Percentage who have had their cholesterol measured,Rural,56.52
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 4,2015,Estimated,10.4,12853326,viz_age_area,Percentage who have had their cholesterol measured,Urban,21.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 4,2015,Estimated,36.23,44776539,viz_age_area,Percentage who have had their cholesterol measured,Rural,56.52
Percentage who have had their cholesterol measured,Measured,Total,Total,2015,Lower Bound,73.66,91036154,,,"",
Percentage who have had their cholesterol measured,Measured,Sex,Men,2015,Lower Bound,91.46,113035116,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Sex,Women,2015,Lower Bound,7.51,9281585,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Age,Age Group 1,2015,Lower Bound,80.43,99403175,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Age,Age Group 2,2015,Lower Bound,23.56,29117727,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Age,Age Group 3,2015,Lower Bound,36.17,44702385,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Age,Age Group 4,2015,Lower Bound,73.37,90677744,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Area,Urban,2015,Lower Bound,53.28,65848578,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Area,Rural,2015,Lower Bound,21.43,26485267,,,Total,73.66
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 1,2015,Lower Bound,56.52,69852884,,,Women,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 2,2015,Lower Bound,83.01,102591788,,,Women,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 3,2015,Lower Bound,29.75,36767928,,,Women,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 4,2015,Lower Bound,14.51,17932862,,,Women,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 1,2015,Lower Bound,10.4,12853326,,,Men,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 2,2015,Lower Bound,36.23,44776539,,,Men,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 3,2015,Lower Bound,73.66,91036154,,,Men,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 4,2015,Lower Bound,91.46,113035116,,,Men,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Area,Urban Men,2015,Lower Bound,7.51,9281585,,,Men,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Area,Rural Men,2015,Lower Bound,80.43,99403175,,,Men,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Area,Urban Women,2015,Lower Bound,23.56,29117727,,,Women,7.51
Percentage who have had their cholesterol measured,Measured,Sex by Area,Rural Women,2015,Lower Bound,36.17,44702385,,,Women,7.51
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 1,2015,Lower Bound,73.37,90677744,,,Urban,53.28
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 1,2015,Lower Bound,53.28,65848578,,,Rural,21.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 2,2015,Lower Bound,21.43,26485267,,,Urban,53.28
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 2,2015,Lower Bound,56.52,69852884,,,Rural,21.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 3,2015,Lower Bound,83.01,102591788,,,Urban,53.28
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 3,2015,Lower Bound,29.75,36767928,,,Rural,21.43
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 4,2015,Lower Bound,14.51,17932862,,,Urban,53.28
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 4,2015,Lower Bound,10.4,12853326,,,Rural,21.43
Percentage who have had their cholesterol measured,Measured,Total,Total,2015,Upper Bound,36.23,44776539,,,"",
Percentage who have had their cholesterol measured,Measured,Sex,Men,2015,Upper Bound,73.66,91036154,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Sex,Women,2015,Upper Bound,91.46,113035116,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Age,Age Group 1,2015,Upper Bound,7.51,9281585,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Age,Age Group 2,2015,Upper Bound,80.43,99403175,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Age,Age Group 3,2015,Upper Bound,23.56,29117727,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Age,Age Group 4,2015,Upper Bound,36.17,44702385,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Area,Urban,2015,Upper Bound,73.37,90677744,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Area,Rural,2015,Upper Bound,53.28,65848578,,,Total,36.23
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 1,2015,Upper Bound,21.43,26485267,,,Women,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 2,2015,Upper Bound,56.52,69852884,,,Women,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 3,2015,Upper Bound,83.01,102591788,,,Women,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Women Age Group 4,2015,Upper Bound,29.75,36767928,,,Women,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 1,2015,Upper Bound,14.51,17932862,,,Men,73.66
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 2,2015,Upper Bound,10.4,12853326,,,Men,73.66
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 3,2015,Upper Bound,36.23,44776539,,,Men,73.66
Percentage who have had their cholesterol measured,Measured,Sex by Age,Men Age Group 4,2015,Upper Bound,73.66,91036154,,,Men,73.66
Percentage who have had their cholesterol measured,Measured,Sex by Area,Urban Men,2015,Upper Bound,91.46,113035116,,,Men,73.66
Percentage who have had their cholesterol measured,Measured,Sex by Area,Rural Men,2015,Upper Bound,7.51,9281585,,,Men,73.66
Percentage who have had their cholesterol measured,Measured,Sex by Area,Urban Women,2015,Upper Bound,80.43,99403175,,,Women,91.46
Percentage who have had their cholesterol measured,Measured,Sex by Area,Rural Women,2015,Upper Bound,23.56,29117727,,,Women,91.46
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 1,2015,Upper Bound,36.17,44702385,,,Urban,73.37
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 1,2015,Upper Bound,73.37,90677744,,,Rural,53.28
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 2,2015,Upper Bound,53.28,65848578,,,Urban,73.37
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 2,2015,Upper Bound,21.43,26485267,,,Rural,53.28
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 3,2015,Upper Bound,56.52,69852884,,,Urban,73.37
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 3,2015,Upper Bound,83.01,102591788,,,Rural,53.28
Percentage who have had their cholesterol measured,Measured,Age by Area,Urban Age Group 4,2015,Upper Bound,29.75,36767928,,,Urban,73.37
Percentage who have had their cholesterol measured,Measured,Age by Area,Rural Age Group 4,2015,Lower Bound,14.51,17932862,,,Rural,21.43
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Total,Total,2015,Estimated,10.4,12853326,viz_total,Percentage who have had their cholesterol measured but not told to have raised cholesterol,"",
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex,Men,2015,Estimated,36.23,44776539,viz_sex,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex,Women,2015,Estimated,73.66,91036154,viz_sex,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Age,Age Group 1,2015,Estimated,91.46,113035116,viz_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Age,Age Group 2,2015,Estimated,7.51,9281585,viz_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Age,Age Group 3,2015,Estimated,80.43,99403175,viz_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Age,Age Group 4,2015,Estimated,23.56,29117727,viz_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Area,Urban,2015,Estimated,36.17,44702385,viz_area,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Area,Rural,2015,Estimated,73.37,90677744,viz_area,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Total,10.4
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Women Age Group 1,2015,Estimated,53.28,65848578,viz_women_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Women,73.66
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Women Age Group 2,2015,Estimated,21.43,26485267,viz_women_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Women,73.66
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Women Age Group 3,2015,Estimated,56.52,69852884,viz_women_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Women,73.66
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Women Age Group 4,2015,Estimated,83.01,102591788,viz_women_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Women,73.66
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Men Age Group 1,2015,Estimated,29.75,36767928,viz_men_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Men,36.23
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Men Age Group 2,2015,Estimated,14.51,17932862,viz_men_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Men,36.23
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Men Age Group 3,2015,Estimated,10.4,12853326,viz_men_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Men,36.23
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Age,Men Age Group 4,2015,Estimated,36.23,44776539,viz_men_age,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Men,36.23
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Area,Urban Men,2015,Estimated,73.66,91036154,viz_sex_area,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Men,36.23
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Area,Rural Men,2015,Estimated,91.46,113035116,viz_sex_area,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Men,36.23
Percentage who have had their cholesterol measured but not told to have raised cholesterol,Measured not diagnosed,Sex by Area,Urban Women,2015,Estimated,7.51,9281585,viz_sex_area,Percentage who have had their cholesterol measured but not told to have raised cholesterol,Women,73.66
