Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Average days with fruits,Rural,10.23
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Average days with fruits,Rural,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Rural 30-49 - Average days with fruits,Rural,1.33
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Average days with fruits,Rural,10.23
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Average days with fruits,Rural,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Rural 50-69 - Average days with fruits,Rural,1.33
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Average days with fruits,Rural,10.23
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Average days with fruits,Rural,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Rural  18-69 - Average days with fruits,Rural,1.33
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average days with fruits,Rural,10.23
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average days with fruits,Rural,10.23
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Urban 18-29 - Average days with fruits,Urban,6.682
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Average days with fruits,Urban,10.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Average days with fruits,Urban,8.055
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Urban 30-49 - Average days with fruits,Urban,6.682
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Average days with fruits,Urban,10.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Average days with fruits,Urban,8.055
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Urban 50-69 - Average days with fruits,Urban,6.682
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Average days with fruits,Urban,10.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Average days with fruits,Urban,8.055
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Urban  18-69 - Average days with fruits,Urban,6.682
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Average days with fruits,Urban,10.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Average days with fruits,Urban,8.055
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Rural,2015,Estimated,3.8,,viz_area,Average number of days fruit is consumed in a typical week,,Rural - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Rural,2015,Lower Bound,3.71,,,,,Rural - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Rural,2015,Upper Bound,3.99,,,,,Rural - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Urban,2015,Estimated,4.2,,viz_area,Average number of days fruit is consumed in a typical week,,Urban - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Urban,2015,Lower Bound,4.1,,,,,Urban - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Urban,2015,Upper Bound,4.41,,,,,Urban - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Men,2015,Estimated,3.6,,viz_sex,Average number of days fruit is consumed in a typical week,table_total,Men - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Men,2015,Lower Bound,3.4,,,,table_total,Men - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Men,2015,Upper Bound,3.8,,,,table_total,Men - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Women,2015,Estimated,4.4,,viz_sex,Average number of days fruit is consumed in a typical week,table_total,Women - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Women,2015,Lower Bound,4.3,,,,table_total,Women - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Women,2015,Upper Bound,4.6,,,,table_total,Women - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 18-29,2015,Estimated,3.6,,viz_men_age,Average number of days fruit is consumed in a typical week,,Men 18-29 - Average days with fruits,Men,12.18
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 18-29,2015,Lower Bound,3.2,,,,,Men 18-29 - Average days with fruits,Men,12.7
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 18-29,2015,Upper Bound,3.9,,,,,Men 18-29 - Average days with fruits,Men,11.57
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 30-49,2015,Estimated,3.6,,viz_men_age,Average number of days fruit is consumed in a typical week,,Men 30-49 - Average days with fruits,Men,12.18
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 30-49,2015,Lower Bound,3.4,,,,,Men 30-49 - Average days with fruits,Men,12.7
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 30-49,2015,Upper Bound,3.8,,,,,Men 30-49 - Average days with fruits,Men,11.57
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 50-69,2015,Estimated,3.8,,viz_men_age,Average number of days fruit is consumed in a typical week,,Men 50-69 - Average days with fruits,Men,12.18
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 50-69,2015,Lower Bound,3.5,,,,,Men 50-69 - Average days with fruits,Men,12.7
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men 50-69,2015,Upper Bound,4,,,,,Men 50-69 - Average days with fruits,Men,11.57
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men  18-69,2015,Estimated,3.6,,viz_men_age,Average number of days fruit is consumed in a typical week,,Men  18-69 - Average days with fruits,Men,12.18
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men  18-69,2015,Lower Bound,3.4,,,,,Men  18-69 - Average days with fruits,Men,12.7
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men  18-69,2015,Upper Bound,3.8,,,,,Men  18-69 - Average days with fruits,Men,11.57
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 18-29,2015,Estimated,4.7,,viz_women_age,Average number of days fruit is consumed in a typical week,,Women 18-29 - Average days with fruits,Women,4.347
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 18-29,2015,Lower Bound,4.4,,,,,Women 18-29 - Average days with fruits,Women,11.56
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 18-29,2015,Upper Bound,4.9,,,,,Women 18-29 - Average days with fruits,Women,4.912
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 30-49,2015,Estimated,4.4,,viz_women_age,Average number of days fruit is consumed in a typical week,,Women 30-49 - Average days with fruits,Women,4.347
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 30-49,2015,Lower Bound,4.2,,,,,Women 30-49 - Average days with fruits,Women,11.56
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 30-49,2015,Upper Bound,4.6,,,,,Women 30-49 - Average days with fruits,Women,4.912
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 50-69,2015,Estimated,4.1,,viz_women_age,Average number of days fruit is consumed in a typical week,,Women 50-69 - Average days with fruits,Women,4.347
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 50-69,2015,Lower Bound,3.9,,,,,Women 50-69 - Average days with fruits,Women,11.56
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women 50-69,2015,Upper Bound,4.4,,,,,Women 50-69 - Average days with fruits,Women,4.912
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women  18-69,2015,Estimated,4.4,,viz_women_age,Average number of days fruit is consumed in a typical week,,Women  18-69 - Average days with fruits,Women,4.347
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women  18-69,2015,Lower Bound,4.3,,,,,Women  18-69 - Average days with fruits,Women,11.56
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women  18-69,2015,Upper Bound,4.6,,,,,Women  18-69 - Average days with fruits,Women,4.912
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,Average number of days fruit is consumed in a typical week,,Rural Men - Average days with fruits,Men,12.18
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Men,2015,Lower Bound,,,,,,Rural Men - Average days with fruits,Men,12.7
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Men,2015,Upper Bound,,,,,,Rural Men - Average days with fruits,Men,11.57
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,Average number of days fruit is consumed in a typical week,,Rural Women - Average days with fruits,Women,4.347
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Women,2015,Lower Bound,,,,,,Rural Women - Average days with fruits,Women,11.56
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Women,2015,Upper Bound,,,,,,Rural Women - Average days with fruits,Women,4.912
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,Average number of days fruit is consumed in a typical week,,Urban Men - Average days with fruits,Men,12.18
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Men,2015,Lower Bound,,,,,,Urban Men - Average days with fruits,Men,12.7
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Men,2015,Upper Bound,,,,,,Urban Men - Average days with fruits,Men,11.57
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,Average number of days fruit is consumed in a typical week,,Urban Women - Average days with fruits,Women,4.347
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Women,2015,Lower Bound,,,,,,Urban Women - Average days with fruits,Women,11.56
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Women,2015,Upper Bound,,,,,,Urban Women - Average days with fruits,Women,4.912
Average number of days fruit is consumed in a typical week,Average days with fruits,Total,Total,2015,Estimated,4,,viz_total,Average number of days fruit is consumed in a typical week,table_total,1.Total - Average days with fruits,,
Average number of days fruit is consumed in a typical week,Average days with fruits,Total,Total,2015,Lower Bound,3.9,,,,table_total,1.Total - Average days with fruits,,
Average number of days fruit is consumed in a typical week,Average days with fruits,Total,Total,2015,Upper Bound,4.2,,,,table_total,1.Total - Average days with fruits,,
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,18-29,2015,Estimated,6.5,,viz_age,Average number of days vegetables are consumed in a typical week,,18-29 - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,18-29,2015,Lower Bound,6.3,,,,,18-29 - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,18-29,2015,Upper Bound,6.6,,,,,18-29 - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,30-49,2015,Estimated,6.6,,viz_age,Average number of days vegetables are consumed in a typical week,,30-49 - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,30-49,2015,Lower Bound,6.5,,,,,30-49 - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,30-49,2015,Upper Bound,6.6,,,,,30-49 - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,50-69,2015,Estimated,6.6,,viz_age,Average number of days vegetables are consumed in a typical week,,50-69 - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,50-69,2015,Lower Bound,6.5,,,,,50-69 - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,50-69,2015,Upper Bound,6.7,,,,,50-69 - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age, 18-69,2015,Estimated,6.5,,viz_age,Average number of days vegetables are consumed in a typical week,, 18-69 - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age, 18-69,2015,Lower Bound,6.5,,,,, 18-69 - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age, 18-69,2015,Upper Bound,6.6,,,,, 18-69 - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Rural 18-29 - Average days with vegetables,Rural,4.818
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Average days with vegetables,Rural,6.652
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Average days with vegetables,Rural,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Rural 30-49 - Average days with vegetables,Rural,4.818
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Average days with vegetables,Rural,6.652
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Average days with vegetables,Rural,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Rural 50-69 - Average days with vegetables,Rural,4.818
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Average days with vegetables,Rural,6.652
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Average days with vegetables,Rural,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Rural  18-69 - Average days with vegetables,Rural,4.818
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average days with vegetables,Rural,6.652
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average days with vegetables,Rural,6.652
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Urban 18-29 - Average days with vegetables,Urban,10.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Average days with vegetables,Urban,7.303
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Average days with vegetables,Urban,7.294
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Urban 30-49 - Average days with vegetables,Urban,10.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Average days with vegetables,Urban,7.303
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Average days with vegetables,Urban,7.294
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Urban 50-69 - Average days with vegetables,Urban,10.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Average days with vegetables,Urban,7.303
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Average days with vegetables,Urban,7.294
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,Average number of days vegetables are consumed in a typical week,,Urban  18-69 - Average days with vegetables,Urban,10.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Average days with vegetables,Urban,7.303
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Average days with vegetables,Urban,7.294
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Rural,2015,Estimated,6.18,,viz_area,Average number of days vegetables are consumed in a typical week,,Rural - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Rural,2015,Lower Bound,6.18,,,,,Rural - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Rural,2015,Upper Bound,6.27,,,,,Rural - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Urban,2015,Estimated,6.83,,viz_area,Average number of days vegetables are consumed in a typical week,,Urban - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Urban,2015,Lower Bound,6.83,,,,,Urban - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Urban,2015,Upper Bound,6.93,,,,,Urban - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Men,2015,Estimated,6.5,,viz_sex,Average number of days vegetables are consumed in a typical week,table_total,Men - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Men,2015,Lower Bound,6.4,,,,table_total,Men - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Men,2015,Upper Bound,6.6,,,,table_total,Men - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Women,2015,Estimated,6.6,,viz_sex,Average number of days vegetables are consumed in a typical week,table_total,Women - Average days with vegetables,Total,4.58
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Women,2015,Lower Bound,6.5,,,,table_total,Women - Average days with vegetables,Total,5.089
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Women,2015,Upper Bound,6.7,,,,table_total,Women - Average days with vegetables,Total,11.45
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 18-29,2015,Estimated,6.5,,viz_men_age,Average number of days vegetables are consumed in a typical week,,Men 18-29 - Average days with vegetables,Men,7.359
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 18-29,2015,Lower Bound,6.3,,,,,Men 18-29 - Average days with vegetables,Men,2.924
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 18-29,2015,Upper Bound,6.6,,,,,Men 18-29 - Average days with vegetables,Men,9.978
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 30-49,2015,Estimated,6.5,,viz_men_age,Average number of days vegetables are consumed in a typical week,,Men 30-49 - Average days with vegetables,Men,7.359
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 30-49,2015,Lower Bound,6.4,,,,,Men 30-49 - Average days with vegetables,Men,2.924
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 30-49,2015,Upper Bound,6.6,,,,,Men 30-49 - Average days with vegetables,Men,9.978
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 50-69,2015,Estimated,6.6,,viz_men_age,Average number of days vegetables are consumed in a typical week,,Men 50-69 - Average days with vegetables,Men,7.359
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 50-69,2015,Lower Bound,6.5,,,,,Men 50-69 - Average days with vegetables,Men,2.924
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men 50-69,2015,Upper Bound,6.7,,,,,Men 50-69 - Average days with vegetables,Men,9.978
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men  18-69,2015,Estimated,6.5,,viz_men_age,Average number of days vegetables are consumed in a typical week,,Men  18-69 - Average days with vegetables,Men,7.359
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men  18-69,2015,Lower Bound,6.4,,,,,Men  18-69 - Average days with vegetables,Men,2.924
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men  18-69,2015,Upper Bound,6.6,,,,,Men  18-69 - Average days with vegetables,Men,9.978
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 18-29,2015,Estimated,6.5,,viz_women_age,Average number of days vegetables are consumed in a typical week,,Women 18-29 - Average days with vegetables,Women,7.227
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 18-29,2015,Lower Bound,6.3,,,,,Women 18-29 - Average days with vegetables,Women,3.949
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 18-29,2015,Upper Bound,6.6,,,,,Women 18-29 - Average days with vegetables,Women,3.108
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 30-49,2015,Estimated,6.6,,viz_women_age,Average number of days vegetables are consumed in a typical week,,Women 30-49 - Average days with vegetables,Women,7.227
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 30-49,2015,Lower Bound,6.5,,,,,Women 30-49 - Average days with vegetables,Women,3.949
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 30-49,2015,Upper Bound,6.7,,,,,Women 30-49 - Average days with vegetables,Women,3.108
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 50-69,2015,Estimated,6.6,,viz_women_age,Average number of days vegetables are consumed in a typical week,,Women 50-69 - Average days with vegetables,Women,7.227
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 50-69,2015,Lower Bound,6.5,,,,,Women 50-69 - Average days with vegetables,Women,3.949
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women 50-69,2015,Upper Bound,6.7,,,,,Women 50-69 - Average days with vegetables,Women,3.108
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women  18-69,2015,Estimated,6.6,,viz_women_age,Average number of days vegetables are consumed in a typical week,,Women  18-69 - Average days with vegetables,Women,7.227
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women  18-69,2015,Lower Bound,6.5,,,,,Women  18-69 - Average days with vegetables,Women,3.949
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women  18-69,2015,Upper Bound,6.7,,,,,Women  18-69 - Average days with vegetables,Women,3.108
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,Average number of days vegetables are consumed in a typical week,,Rural Men - Average days with vegetables,Men,7.359
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Men,2015,Lower Bound,,,,,,Rural Men - Average days with vegetables,Men,2.924
