Topic,Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 2,2015,Estimated,6.674,8248375,viz_men_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Men,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 3,2015,Estimated,85.47,105632094,viz_men_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Men,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 4,2015,Estimated,73.63,90999077,viz_men_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Men,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Men,2015,Estimated,33.33,41192438,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Men,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Men,2015,Estimated,21.52,26596498,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Men,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Women,2015,Estimated,14.98,18513733,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Women,85.47
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Women,2015,Estimated,5.41,6686201,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Women,85.47
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 1,2015,Estimated,80.48,99464970,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Urban,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 1,2015,Estimated,19.35,23914602,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Rural,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 2,2015,Estimated,83.77,103531070,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Urban,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 2,2015,Estimated,53.21,65762066,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Rural,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 3,2015,Estimated,62.97,77824418,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Urban,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 3,2015,Estimated,49.22,60830838,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Rural,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 4,2015,Estimated,6.674,8248375,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Urban,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 4,2015,Estimated,85.47,105632094,viz_age_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Rural,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Total,Total,2015,Lower Bound,73.63,90999077,,,"",
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex,Men,2015,Lower Bound,33.33,41192438,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex,Women,2015,Lower Bound,21.52,26596498,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 1,2015,Lower Bound,14.98,18513733,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 2,2015,Lower Bound,5.41,6686201,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 3,2015,Lower Bound,80.48,99464970,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 4,2015,Lower Bound,19.35,23914602,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Area,Urban,2015,Lower Bound,83.77,103531070,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Area,Rural,2015,Lower Bound,53.21,65762066,,,Total,73.63
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 1,2015,Lower Bound,62.97,77824418,,,Women,21.52
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 2,2015,Lower Bound,49.22,60830838,,,Women,21.52
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 3,2015,Lower Bound,6.674,8248375,,,Women,21.52
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 4,2015,Lower Bound,85.47,105632094,,,Women,21.52
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 1,2015,Lower Bound,73.63,90999077,,,Men,33.33
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 2,2015,Lower Bound,33.33,41192438,,,Men,33.33
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 3,2015,Lower Bound,21.52,26596498,,,Men,33.33
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 4,2015,Lower Bound,14.98,18513733,,,Men,33.33
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Men,2015,Lower Bound,5.41,6686201,,,Men,33.33
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Men,2015,Lower Bound,80.48,99464970,,,Men,33.33
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Women,2015,Lower Bound,19.35,23914602,,,Women,21.52
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Women,2015,Lower Bound,83.77,103531070,,,Women,21.52
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 1,2015,Lower Bound,53.21,65762066,,,Urban,83.77
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 1,2015,Lower Bound,62.97,77824418,,,Rural,53.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 2,2015,Lower Bound,49.22,60830838,,,Urban,83.77
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 2,2015,Lower Bound,6.674,8248375,,,Rural,53.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 3,2015,Lower Bound,85.47,105632094,,,Urban,83.77
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 3,2015,Lower Bound,73.63,90999077,,,Rural,53.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 4,2015,Lower Bound,33.33,41192438,,,Urban,83.77
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 4,2015,Lower Bound,21.52,26596498,,,Rural,53.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Total,Total,2015,Upper Bound,14.98,18513733,,,"",
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex,Men,2015,Upper Bound,5.41,6686201,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex,Women,2015,Upper Bound,80.48,99464970,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 1,2015,Upper Bound,19.35,23914602,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 2,2015,Upper Bound,83.77,103531070,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 3,2015,Upper Bound,53.21,65762066,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 4,2015,Upper Bound,62.97,77824418,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Area,Urban,2015,Upper Bound,49.22,60830838,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Area,Rural,2015,Upper Bound,6.674,8248375,,,Total,14.98
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 1,2015,Upper Bound,85.47,105632094,,,Women,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 2,2015,Upper Bound,73.63,90999077,,,Women,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 3,2015,Upper Bound,33.33,41192438,,,Women,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 4,2015,Upper Bound,21.52,26596498,,,Women,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 1,2015,Upper Bound,14.98,18513733,,,Men,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 2,2015,Upper Bound,5.41,6686201,,,Men,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 3,2015,Upper Bound,80.48,99464970,,,Men,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 4,2015,Upper Bound,19.35,23914602,,,Men,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Men,2015,Upper Bound,83.77,103531070,,,Men,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Men,2015,Upper Bound,53.21,65762066,,,Men,5.41
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Women,2015,Upper Bound,62.97,77824418,,,Women,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Women,2015,Upper Bound,49.22,60830838,,,Women,80.48
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 1,2015,Upper Bound,6.674,8248375,,,Urban,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 1,2015,Upper Bound,85.47,105632094,,,Rural,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 2,2015,Upper Bound,73.63,90999077,,,Urban,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 2,2015,Upper Bound,33.33,41192438,,,Rural,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 3,2015,Upper Bound,21.52,26596498,,,Urban,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 3,2015,Upper Bound,14.98,18513733,,,Rural,6.674
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Urban Age Group 4,2015,Upper Bound,5.41,6686201,,,Urban,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age by Area,Rural Age Group 4,2015,Lower Bound,80.48,99464970,,,Rural,53.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Total,Total,2015,Estimated,19.35,23914602,viz_total,Percentage currently taking aspirin to prevent or treat heart disease,"",
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Men,2015,Estimated,83.77,103531070,viz_sex,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Women,2015,Estimated,53.21,65762066,viz_sex,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 1,2015,Estimated,62.97,77824418,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 2,2015,Estimated,49.22,60830838,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 3,2015,Estimated,6.674,8248375,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 4,2015,Estimated,85.47,105632094,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Urban,2015,Estimated,73.63,90999077,viz_area,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Rural,2015,Estimated,33.33,41192438,viz_area,Percentage currently taking aspirin to prevent or treat heart disease,Total,19.35
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 1,2015,Estimated,21.52,26596498,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,Women,53.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 2,2015,Estimated,14.98,18513733,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,Women,53.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 3,2015,Estimated,5.41,6686201,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,Women,53.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 4,2015,Estimated,80.48,99464970,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,Women,53.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men Age Group 1,2015,Estimated,19.35,23914602,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,Men,83.77
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men Age Group 2,2015,Estimated,83.77,103531070,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,Men,83.77
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men Age Group 3,2015,Estimated,53.21,65762066,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,Men,83.77
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men Age Group 4,2015,Estimated,62.97,77824418,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,Men,83.77
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Men,2015,Estimated,49.22,60830838,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,Men,83.77
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Men,2015,Estimated,6.674,8248375,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,Men,83.77
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Women,2015,Estimated,85.47,105632094,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,Women,53.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Women,2015,Estimated,73.63,90999077,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,Women,53.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban Age Group 1,2015,Estimated,33.33,41192438,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Urban,73.63
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural Age Group 1,2015,Estimated,21.52,26596498,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Rural,33.33
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban Age Group 2,2015,Estimated,14.98,18513733,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Urban,73.63
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural Age Group 2,2015,Estimated,5.41,6686201,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Rural,33.33
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban Age Group 3,2015,Estimated,80.48,99464970,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Urban,73.63
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural Age Group 3,2015,Estimated,19.35,23914602,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Rural,33.33
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban Age Group 4,2015,Estimated,83.77,103531070,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Urban,73.63
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural Age Group 4,2015,Estimated,53.21,65762066,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,Rural,33.33
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Total,Total,2015,Lower Bound,62.97,77824418,,,"",
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Men,2015,Lower Bound,49.22,60830838,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Women,2015,Lower Bound,6.674,8248375,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 1,2015,Lower Bound,85.47,105632094,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 2,2015,Lower Bound,73.63,90999077,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 3,2015,Lower Bound,33.33,41192438,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,Age Group 4,2015,Lower Bound,21.52,26596498,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Urban,2015,Lower Bound,14.98,18513733,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Rural,2015,Lower Bound,5.41,6686201,,,Total,62.97
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 1,2015,Lower Bound,80.48,99464970,,,Women,6.674
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 2,2015,Lower Bound,19.35,23914602,,,Women,6.674
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 3,2015,Lower Bound,83.77,103531070,,,Women,6.674
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women Age Group 4,2015,Lower Bound,53.21,65762066,,,Women,6.674
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men Age Group 1,2015,Lower Bound,62.97,77824418,,,Men,49.22
