Topic,Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 30-49,2015,Estimated,,66997962,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Rural 30-49 - Taking aspirin,Rural,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 30-49,2015,Lower Bound,,14645376,,,,Rural 30-49 - Taking aspirin,Rural,54.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 30-49,2015,Upper Bound,,118905625,,,,Rural 30-49 - Taking aspirin,Rural,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 50-69,2015,Estimated,,100910969,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Rural 50-69 - Taking aspirin,Rural,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 50-69,2015,Lower Bound,,122650392,,,,Rural 50-69 - Taking aspirin,Rural,54.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 50-69,2015,Upper Bound,,26188652,,,,Rural 50-69 - Taking aspirin,Rural,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural  18-69,2015,Estimated,,93285486,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Rural  18-69 - Taking aspirin,Rural,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural  18-69,2015,Lower Bound,,102146866,,,,Rural  18-69 - Taking aspirin,Rural,54.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural  18-69,2015,Lower Bound,,105792761,,,,Rural  18-69 - Taking aspirin,Rural,54.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 18-29,2015,Estimated,,105792761,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Urban 18-29 - Taking aspirin,Urban,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 18-29,2015,Lower Bound,,66997962,,,,Urban 18-29 - Taking aspirin,Urban,31.26
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 18-29,2015,Upper Bound,,14645376,,,,Urban 18-29 - Taking aspirin,Urban,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 30-49,2015,Estimated,,38634132,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Urban 30-49 - Taking aspirin,Urban,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 30-49,2015,Lower Bound,,100910969,,,,Urban 30-49 - Taking aspirin,Urban,31.26
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 30-49,2015,Upper Bound,,122650392,,,,Urban 30-49 - Taking aspirin,Urban,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 50-69,2015,Estimated,,39561055,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Urban 50-69 - Taking aspirin,Urban,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 50-69,2015,Lower Bound,,93285486,,,,Urban 50-69 - Taking aspirin,Urban,31.26
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban 50-69,2015,Upper Bound,,102146866,,,,Urban 50-69 - Taking aspirin,Urban,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban  18-69,2015,Estimated,,14645376,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Urban  18-69 - Taking aspirin,Urban,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban  18-69,2015,Lower Bound,,118905625,,,,Urban  18-69 - Taking aspirin,Urban,31.26
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Urban  18-69,2015,Upper Bound,,23210141,,,,Urban  18-69 - Taking aspirin,Urban,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Rural,2015,Estimated,1.24,105792761,viz_area,Percentage currently taking aspirin to prevent or treat heart disease,,Rural - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Rural,2015,Lower Bound,0.95,66997962,,,,Rural - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Rural,2015,Upper Bound,1.62,14645376,,,,Rural - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Urban,2015,Estimated,1.37,23210141,viz_area,Percentage currently taking aspirin to prevent or treat heart disease,,Urban - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Urban,2015,Lower Bound,1.05,38634132,,,,Urban - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Area,Urban,2015,Upper Bound,1.79,100910969,,,,Urban - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Men,2015,Estimated,0.8,14645376,viz_sex,Percentage currently taking aspirin to prevent or treat heart disease,table_total,Men - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Men,2015,Lower Bound,0.5,118905625,,,table_total,Men - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Men,2015,Upper Bound,12,23210141,,,table_total,Men - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Women,2015,Estimated,1.9,93285486,viz_sex,Percentage currently taking aspirin to prevent or treat heart disease,table_total,Women - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Women,2015,Lower Bound,1.2,102146866,,,table_total,Women - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex,Women,2015,Upper Bound,2.5,105792761,,,table_total,Women - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 18-29,2015,Estimated,0,100910969,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,,Men 18-29 - Taking aspirin,Men,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 18-29,2015,Lower Bound,0,122650392,,,,Men 18-29 - Taking aspirin,Men,96.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 18-29,2015,Upper Bound,0,26188652,,,,Men 18-29 - Taking aspirin,Men,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 30-49,2015,Estimated,0.2,14645376,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,,Men 30-49 - Taking aspirin,Men,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 30-49,2015,Lower Bound,0,118905625,,,,Men 30-49 - Taking aspirin,Men,96.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 30-49,2015,Upper Bound,0.5,23210141,,,,Men 30-49 - Taking aspirin,Men,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 50-69,2015,Estimated,3.1,93285486,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,,Men 50-69 - Taking aspirin,Men,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 50-69,2015,Lower Bound,1.7,102146866,,,,Men 50-69 - Taking aspirin,Men,96.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men 50-69,2015,Upper Bound,4.5,105792761,,,,Men 50-69 - Taking aspirin,Men,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men  18-69,2015,Estimated,0.8,122650392,viz_men_age,Percentage currently taking aspirin to prevent or treat heart disease,,Men  18-69 - Taking aspirin,Men,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men  18-69,2015,Lower Bound,0.5,26188652,,,,Men  18-69 - Taking aspirin,Men,96.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Men  18-69,2015,Upper Bound,1.2,67368731,,,,Men  18-69 - Taking aspirin,Men,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 18-29,2015,Estimated,0.3,67368731,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,,Women 18-29 - Taking aspirin,Women,75.48
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 18-29,2015,Lower Bound,0,39561055,,,,Women 18-29 - Taking aspirin,Women,82.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 18-29,2015,Upper Bound,1,93285486,,,,Women 18-29 - Taking aspirin,Women,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 30-49,2015,Estimated,1.2,38634132,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,,Women 30-49 - Taking aspirin,Women,75.48
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 30-49,2015,Lower Bound,0.5,100910969,,,,Women 30-49 - Taking aspirin,Women,82.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 30-49,2015,Upper Bound,1.9,122650392,,,,Women 30-49 - Taking aspirin,Women,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 50-69,2015,Estimated,5,66997962,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,,Women 50-69 - Taking aspirin,Women,75.48
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 50-69,2015,Lower Bound,3.1,14645376,,,,Women 50-69 - Taking aspirin,Women,82.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women 50-69,2015,Upper Bound,6.9,118905625,,,,Women 50-69 - Taking aspirin,Women,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women  18-69,2015,Estimated,1.9,39561055,viz_women_age,Percentage currently taking aspirin to prevent or treat heart disease,,Women  18-69 - Taking aspirin,Women,75.48
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women  18-69,2015,Lower Bound,1.2,93285486,,,,Women  18-69 - Taking aspirin,Women,82.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Age,Women  18-69,2015,Upper Bound,2.5,102146866,,,,Women  18-69 - Taking aspirin,Women,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Men,2015,Estimated,,102146866,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,,Rural Men - Taking aspirin,Men,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Men,2015,Lower Bound,,105792761,,,,Rural Men - Taking aspirin,Men,96.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Men,2015,Upper Bound,,66997962,,,,Rural Men - Taking aspirin,Men,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Women,2015,Estimated,,23210141,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,,Rural Women - Taking aspirin,Women,75.48
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Women,2015,Lower Bound,,38634132,,,,Rural Women - Taking aspirin,Women,82.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Rural Women,2015,Upper Bound,,100910969,,,,Rural Women - Taking aspirin,Women,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Men,2015,Estimated,,118905625,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,,Urban Men - Taking aspirin,Men,11.85
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Men,2015,Lower Bound,,23210141,,,,Urban Men - Taking aspirin,Men,96.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Men,2015,Upper Bound,,38634132,,,,Urban Men - Taking aspirin,Men,18.78
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Women,2015,Estimated,,26188652,viz_sex_area,Percentage currently taking aspirin to prevent or treat heart disease,,Urban Women - Taking aspirin,Women,75.48
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Women,2015,Lower Bound,,67368731,,,,Urban Women - Taking aspirin,Women,82.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Sex by Area,Urban Women,2015,Upper Bound,,39561055,,,,Urban Women - Taking aspirin,Women,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Total,Total,2015,Estimated,1.3,100910969,viz_total,Percentage currently taking aspirin to prevent or treat heart disease,table_total,1.Total - Taking aspirin,,
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Total,Total,2015,Lower Bound,1,122650392,,,table_total,1.Total - Taking aspirin,,
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Total,Total,2015,Upper Bound,1.7,26188652,,,table_total,1.Total - Taking aspirin,,
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,18-29,2015,Estimated,0.3,39561055,viz_age,Percentage currently taking statins to prevent or treat heart disease,,18-29 - Taking statins,Total,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,18-29,2015,Lower Bound,0,93285486,,,,18-29 - Taking statins,Total,32.01
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,18-29,2015,Upper Bound,1,102146866,,,,18-29 - Taking statins,Total,75.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,30-49,2015,Estimated,0.7,100910969,viz_age,Percentage currently taking statins to prevent or treat heart disease,,30-49 - Taking statins,Total,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,30-49,2015,Lower Bound,0.4,122650392,,,,30-49 - Taking statins,Total,32.01
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,30-49,2015,Upper Bound,1.1,26188652,,,,30-49 - Taking statins,Total,75.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,50-69,2015,Estimated,3.5,14645376,viz_age,Percentage currently taking statins to prevent or treat heart disease,,50-69 - Taking statins,Total,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,50-69,2015,Lower Bound,2.4,118905625,,,,50-69 - Taking statins,Total,32.01
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,50-69,2015,Upper Bound,4.5,23210141,,,,50-69 - Taking statins,Total,75.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age, 18-69,2015,Estimated,1.3,93285486,viz_age,Percentage currently taking statins to prevent or treat heart disease,, 18-69 - Taking statins,Total,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age, 18-69,2015,Lower Bound,0.9,102146866,,,, 18-69 - Taking statins,Total,32.01
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age, 18-69,2015,Upper Bound,1.7,105792761,,,, 18-69 - Taking statins,Total,75.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 18-29,2015,Estimated,,102146866,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Rural 18-29 - Taking statins,Rural,96.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 18-29,2015,Lower Bound,,105792761,,,,Rural 18-29 - Taking statins,Rural,18.78
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 18-29,2015,Upper Bound,,66997962,,,,Rural 18-29 - Taking statins,Rural,31.26
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 30-49,2015,Estimated,,23210141,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Rural 30-49 - Taking statins,Rural,96.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 30-49,2015,Lower Bound,,38634132,,,,Rural 30-49 - Taking statins,Rural,18.78
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 30-49,2015,Upper Bound,,100910969,,,,Rural 30-49 - Taking statins,Rural,31.26
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 50-69,2015,Estimated,,67368731,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Rural 50-69 - Taking statins,Rural,96.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 50-69,2015,Lower Bound,,39561055,,,,Rural 50-69 - Taking statins,Rural,18.78
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural 50-69,2015,Upper Bound,,93285486,,,,Rural 50-69 - Taking statins,Rural,31.26
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural  18-69,2015,Estimated,,66997962,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Rural  18-69 - Taking statins,Rural,96.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural  18-69,2015,Lower Bound,,14645376,,,,Rural  18-69 - Taking statins,Rural,18.78
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural  18-69,2015,Lower Bound,,118905625,,,,Rural  18-69 - Taking statins,Rural,18.78
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 18-29,2015,Estimated,,118905625,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Urban 18-29 - Taking statins,Urban,99.24
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 18-29,2015,Lower Bound,,23210141,,,,Urban 18-29 - Taking statins,Urban,21.19
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 18-29,2015,Upper Bound,,38634132,,,,Urban 18-29 - Taking statins,Urban,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 30-49,2015,Estimated,,26188652,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Urban 30-49 - Taking statins,Urban,99.24
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 30-49,2015,Lower Bound,,67368731,,,,Urban 30-49 - Taking statins,Urban,21.19
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 30-49,2015,Upper Bound,,39561055,,,,Urban 30-49 - Taking statins,Urban,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 50-69,2015,Estimated,,105792761,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Urban 50-69 - Taking statins,Urban,99.24
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 50-69,2015,Lower Bound,,66997962,,,,Urban 50-69 - Taking statins,Urban,21.19
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban 50-69,2015,Upper Bound,,14645376,,,,Urban 50-69 - Taking statins,Urban,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban  18-69,2015,Estimated,,38634132,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,,Urban  18-69 - Taking statins,Urban,99.24
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban  18-69,2015,Lower Bound,,100910969,,,,Urban  18-69 - Taking statins,Urban,21.19
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban  18-69,2015,Upper Bound,,122650392,,,,Urban  18-69 - Taking statins,Urban,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Rural,2015,Estimated,1.24,118905625,viz_area,Percentage currently taking statins to prevent or treat heart disease,,Rural - Taking statins,Total,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Rural,2015,Lower Bound,0.86,23210141,,,,Rural - Taking statins,Total,32.01
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Rural,2015,Upper Bound,1.62,38634132,,,,Rural - Taking statins,Total,75.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Urban,2015,Estimated,1.37,122650392,viz_area,Percentage currently taking statins to prevent or treat heart disease,,Urban - Taking statins,Total,54.51
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Urban,2015,Lower Bound,0.95,26188652,,,,Urban - Taking statins,Total,32.01
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Urban,2015,Upper Bound,1.79,67368731,,,,Urban - Taking statins,Total,75.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex,Men,2015,Estimated,1.1,38634132,viz_sex,Percentage currently taking statins to prevent or treat heart disease,table_total,Men - Taking statins,Total,54.51
