Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 4,2015,Estimated,50.71,62672324,viz_women_age,Percentage not meeting WHO recommendations on physical activity,Women,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 1,2015,Estimated,34.89,43120437,viz_men_age,Percentage not meeting WHO recommendations on physical activity,Men,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 2,2015,Estimated,41.86,51734638,viz_men_age,Percentage not meeting WHO recommendations on physical activity,Men,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 3,2015,Estimated,46.85,57901762,viz_men_age,Percentage not meeting WHO recommendations on physical activity,Men,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 4,2015,Estimated,82.92,102480558,viz_men_age,Percentage not meeting WHO recommendations on physical activity,Men,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Urban Men,2015,Estimated,2.62,3238049,viz_sex_area,Percentage not meeting WHO recommendations on physical activity,Men,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Rural Men,2015,Estimated,83.71,103456916,viz_sex_area,Percentage not meeting WHO recommendations on physical activity,Men,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Urban Women,2015,Estimated,4.227,5224136,viz_sex_area,Percentage not meeting WHO recommendations on physical activity,Women,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Rural Women,2015,Estimated,34.93,43169873,viz_sex_area,Percentage not meeting WHO recommendations on physical activity,Women,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 1,2015,Estimated,25.86,31960290,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Urban,25.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 1,2015,Estimated,71.95,88922770,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Rural,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 2,2015,Estimated,56.83,70236012,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Urban,25.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 2,2015,Estimated,12.79,15807119,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Rural,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 3,2015,Estimated,2.611,3226926,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Urban,25.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 3,2015,Estimated,50.71,62672324,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Rural,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 4,2015,Estimated,34.89,43120437,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Urban,25.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 4,2015,Estimated,41.86,51734638,viz_age_area,Percentage not meeting WHO recommendations on physical activity,Rural,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Total,Total,2015,Lower Bound,46.85,57901762,,,"",
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex,Men,2015,Lower Bound,82.92,102480558,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex,Women,2015,Lower Bound,2.62,3238049,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 1,2015,Lower Bound,83.71,103456916,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 2,2015,Lower Bound,4.227,5224136,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 3,2015,Lower Bound,34.93,43169873,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 4,2015,Lower Bound,25.86,31960290,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Area,Urban,2015,Lower Bound,71.95,88922770,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Area,Rural,2015,Lower Bound,56.83,70236012,,,Total,46.85
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 1,2015,Lower Bound,12.79,15807119,,,Women,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 2,2015,Lower Bound,2.611,3226926,,,Women,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 3,2015,Lower Bound,50.71,62672324,,,Women,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 4,2015,Lower Bound,34.89,43120437,,,Women,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 1,2015,Lower Bound,41.86,51734638,,,Men,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 2,2015,Lower Bound,46.85,57901762,,,Men,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 3,2015,Lower Bound,82.92,102480558,,,Men,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 4,2015,Lower Bound,2.62,3238049,,,Men,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Urban Men,2015,Lower Bound,83.71,103456916,,,Men,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Rural Men,2015,Lower Bound,4.227,5224136,,,Men,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Urban Women,2015,Lower Bound,34.93,43169873,,,Women,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Rural Women,2015,Lower Bound,25.86,31960290,,,Women,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 1,2015,Lower Bound,71.95,88922770,,,Urban,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 1,2015,Lower Bound,56.83,70236012,,,Rural,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 2,2015,Lower Bound,12.79,15807119,,,Urban,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 2,2015,Lower Bound,2.611,3226926,,,Rural,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 3,2015,Lower Bound,50.71,62672324,,,Urban,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 3,2015,Lower Bound,34.89,43120437,,,Rural,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 4,2015,Lower Bound,41.86,51734638,,,Urban,71.95
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 4,2015,Lower Bound,46.85,57901762,,,Rural,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Total,Total,2015,Upper Bound,82.92,102480558,,,"",
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex,Men,2015,Upper Bound,2.62,3238049,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex,Women,2015,Upper Bound,83.71,103456916,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 1,2015,Upper Bound,4.227,5224136,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 2,2015,Upper Bound,34.93,43169873,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 3,2015,Upper Bound,25.86,31960290,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 4,2015,Upper Bound,71.95,88922770,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Area,Urban,2015,Upper Bound,56.83,70236012,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Area,Rural,2015,Upper Bound,12.79,15807119,,,Total,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 1,2015,Upper Bound,2.611,3226926,,,Women,83.71
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 2,2015,Upper Bound,50.71,62672324,,,Women,83.71
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 3,2015,Upper Bound,34.89,43120437,,,Women,83.71
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 4,2015,Upper Bound,41.86,51734638,,,Women,83.71
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 1,2015,Upper Bound,46.85,57901762,,,Men,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 2,2015,Upper Bound,82.92,102480558,,,Men,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 3,2015,Upper Bound,2.62,3238049,,,Men,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Men Age Group 4,2015,Upper Bound,83.71,103456916,,,Men,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Urban Men,2015,Upper Bound,4.227,5224136,,,Men,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Rural Men,2015,Upper Bound,34.93,43169873,,,Men,2.62
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Urban Women,2015,Upper Bound,25.86,31960290,,,Women,83.71
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Area,Rural Women,2015,Upper Bound,71.95,88922770,,,Women,83.71
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 1,2015,Upper Bound,56.83,70236012,,,Urban,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 1,2015,Upper Bound,12.79,15807119,,,Rural,12.79
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 2,2015,Upper Bound,2.611,3226926,,,Urban,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 2,2015,Upper Bound,50.71,62672324,,,Rural,12.79
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 3,2015,Upper Bound,34.89,43120437,,,Urban,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 3,2015,Upper Bound,41.86,51734638,,,Rural,12.79
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Urban Age Group 4,2015,Upper Bound,46.85,57901762,,,Urban,56.83
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age by Area,Rural Age Group 4,2015,Lower Bound,82.92,102480558,,,Rural,56.83
Percentage of level of total physical activity per recommendations,1.Low,Total,Total,2015,Estimated,2.62,3238049,viz_total,Percentage of level of total physical activity per recommendations,"",
Percentage of level of total physical activity per recommendations,1.Low,Sex,Men,2015,Estimated,83.71,103456916,viz_sex,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Sex,Women,2015,Estimated,4.227,5224136,viz_sex,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 1,2015,Estimated,34.93,43169873,viz_age,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 2,2015,Estimated,25.86,31960290,viz_age,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 3,2015,Estimated,71.95,88922770,viz_age,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 4,2015,Estimated,56.83,70236012,viz_age,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Area,Urban,2015,Estimated,12.79,15807119,viz_area,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Area,Rural,2015,Estimated,2.611,3226926,viz_area,Percentage of level of total physical activity per recommendations,Total,2.62
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 1,2015,Estimated,50.71,62672324,viz_women_age,Percentage of level of total physical activity per recommendations,Women,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 2,2015,Estimated,34.89,43120437,viz_women_age,Percentage of level of total physical activity per recommendations,Women,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 3,2015,Estimated,41.86,51734638,viz_women_age,Percentage of level of total physical activity per recommendations,Women,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 4,2015,Estimated,46.85,57901762,viz_women_age,Percentage of level of total physical activity per recommendations,Women,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 1,2015,Estimated,82.92,102480558,viz_men_age,Percentage of level of total physical activity per recommendations,Men,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 2,2015,Estimated,2.62,3238049,viz_men_age,Percentage of level of total physical activity per recommendations,Men,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 3,2015,Estimated,83.71,103456916,viz_men_age,Percentage of level of total physical activity per recommendations,Men,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 4,2015,Estimated,4.227,5224136,viz_men_age,Percentage of level of total physical activity per recommendations,Men,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Urban Men,2015,Estimated,34.93,43169873,viz_sex_area,Percentage of level of total physical activity per recommendations,Men,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Rural Men,2015,Estimated,25.86,31960290,viz_sex_area,Percentage of level of total physical activity per recommendations,Men,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Urban Women,2015,Estimated,71.95,88922770,viz_sex_area,Percentage of level of total physical activity per recommendations,Women,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Rural Women,2015,Estimated,56.83,70236012,viz_sex_area,Percentage of level of total physical activity per recommendations,Women,4.227
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 1,2015,Estimated,12.79,15807119,viz_age_area,Percentage of level of total physical activity per recommendations,Urban,12.79
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 1,2015,Estimated,2.611,3226926,viz_age_area,Percentage of level of total physical activity per recommendations,Rural,2.611
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 2,2015,Estimated,50.71,62672324,viz_age_area,Percentage of level of total physical activity per recommendations,Urban,12.79
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 2,2015,Estimated,34.89,43120437,viz_age_area,Percentage of level of total physical activity per recommendations,Rural,2.611
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 3,2015,Estimated,41.86,51734638,viz_age_area,Percentage of level of total physical activity per recommendations,Urban,12.79
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 3,2015,Estimated,46.85,57901762,viz_age_area,Percentage of level of total physical activity per recommendations,Rural,2.611
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 4,2015,Estimated,82.92,102480558,viz_age_area,Percentage of level of total physical activity per recommendations,Urban,12.79
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 4,2015,Estimated,2.62,3238049,viz_age_area,Percentage of level of total physical activity per recommendations,Rural,2.611
Percentage of level of total physical activity per recommendations,1.Low,Total,Total,2015,Lower Bound,83.71,103456916,,,"",
Percentage of level of total physical activity per recommendations,1.Low,Sex,Men,2015,Lower Bound,4.227,5224136,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex,Women,2015,Lower Bound,34.93,43169873,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 1,2015,Lower Bound,25.86,31960290,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 2,2015,Lower Bound,71.95,88922770,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 3,2015,Lower Bound,56.83,70236012,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 4,2015,Lower Bound,12.79,15807119,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Area,Urban,2015,Lower Bound,2.611,3226926,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Area,Rural,2015,Lower Bound,50.71,62672324,,,Total,83.71
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 1,2015,Lower Bound,34.89,43120437,,,Women,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 2,2015,Lower Bound,41.86,51734638,,,Women,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 3,2015,Lower Bound,46.85,57901762,,,Women,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 4,2015,Lower Bound,82.92,102480558,,,Women,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 1,2015,Lower Bound,2.62,3238049,,,Men,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 2,2015,Lower Bound,83.71,103456916,,,Men,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 3,2015,Lower Bound,4.227,5224136,,,Men,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 4,2015,Lower Bound,34.93,43169873,,,Men,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Urban Men,2015,Lower Bound,25.86,31960290,,,Men,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Rural Men,2015,Lower Bound,71.95,88922770,,,Men,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Urban Women,2015,Lower Bound,56.83,70236012,,,Women,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Rural Women,2015,Lower Bound,12.79,15807119,,,Women,34.93
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 1,2015,Lower Bound,2.611,3226926,,,Urban,2.611
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 1,2015,Lower Bound,50.71,62672324,,,Rural,50.71
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 2,2015,Lower Bound,34.89,43120437,,,Urban,2.611
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 2,2015,Lower Bound,41.86,51734638,,,Rural,50.71
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 3,2015,Lower Bound,46.85,57901762,,,Urban,2.611
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 3,2015,Lower Bound,82.92,102480558,,,Rural,50.71
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 4,2015,Lower Bound,2.62,3238049,,,Urban,2.611
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 4,2015,Lower Bound,83.71,103456916,,,Rural,50.71
Percentage of level of total physical activity per recommendations,1.Low,Total,Total,2015,Upper Bound,4.227,5224136,,,"",
Percentage of level of total physical activity per recommendations,1.Low,Sex,Men,2015,Upper Bound,34.93,43169873,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex,Women,2015,Upper Bound,25.86,31960290,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 1,2015,Upper Bound,71.95,88922770,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 2,2015,Upper Bound,56.83,70236012,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 3,2015,Upper Bound,12.79,15807119,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Age,Age Group 4,2015,Upper Bound,2.611,3226926,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Area,Urban,2015,Upper Bound,50.71,62672324,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Area,Rural,2015,Upper Bound,34.89,43120437,,,Total,4.227
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 1,2015,Upper Bound,41.86,51734638,,,Women,25.86
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 2,2015,Upper Bound,46.85,57901762,,,Women,25.86
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 3,2015,Upper Bound,82.92,102480558,,,Women,25.86
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Women Age Group 4,2015,Upper Bound,2.62,3238049,,,Women,25.86
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 1,2015,Upper Bound,83.71,103456916,,,Men,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 2,2015,Upper Bound,4.227,5224136,,,Men,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 3,2015,Upper Bound,34.93,43169873,,,Men,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Age,Men Age Group 4,2015,Upper Bound,25.86,31960290,,,Men,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Urban Men,2015,Upper Bound,71.95,88922770,,,Men,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Rural Men,2015,Upper Bound,56.83,70236012,,,Men,34.93
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Urban Women,2015,Upper Bound,12.79,15807119,,,Women,25.86
Percentage of level of total physical activity per recommendations,1.Low,Sex by Area,Rural Women,2015,Upper Bound,2.611,3226926,,,Women,25.86
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 1,2015,Upper Bound,50.71,62672324,,,Urban,50.71
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 1,2015,Upper Bound,34.89,43120437,,,Rural,34.89
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 2,2015,Upper Bound,41.86,51734638,,,Urban,50.71
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 2,2015,Upper Bound,46.85,57901762,,,Rural,34.89
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 3,2015,Upper Bound,82.92,102480558,,,Urban,50.71
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 3,2015,Upper Bound,2.62,3238049,,,Rural,34.89
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Urban Age Group 4,2015,Upper Bound,83.71,103456916,,,Urban,50.71
Percentage of level of total physical activity per recommendations,1.Low,Age by Area,Rural Age Group 4,2015,Lower Bound,4.227,5224136,,,Rural,50.71
Percentage of level of total physical activity per recommendations,2.Moderate,Total,Total,2015,Estimated,34.93,43169873,viz_total,Percentage of level of total physical activity per recommendations,"",
Percentage of level of total physical activity per recommendations,2.Moderate,Sex,Men,2015,Estimated,25.86,31960290,viz_sex,Percentage of level of total physical activity per recommendations,Total,34.93
Percentage of level of total physical activity per recommendations,2.Moderate,Sex,Women,2015,Estimated,71.95,88922770,viz_sex,Percentage of level of total physical activity per recommendations,Total,34.93
Percentage of level of total physical activity per recommendations,2.Moderate,Age,Age Group 1,2015,Estimated,56.83,70236012,viz_age,Percentage of level of total physical activity per recommendations,Total,34.93
Percentage of level of total physical activity per recommendations,2.Moderate,Age,Age Group 2,2015,Estimated,12.79,15807119,viz_age,Percentage of level of total physical activity per recommendations,Total,34.93
Percentage of level of total physical activity per recommendations,2.Moderate,Age,Age Group 3,2015,Estimated,2.611,3226926,viz_age,Percentage of level of total physical activity per recommendations,Total,34.93
Percentage of level of total physical activity per recommendations,2.Moderate,Age,Age Group 4,2015,Estimated,50.71,62672324,viz_age,Percentage of level of total physical activity per recommendations,Total,34.93
