Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 4,2015,Estimated,5.514,,viz_women_age,Average number of days fruit is consumed in a typical week,Women,6.592
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 1,2015,Estimated,2.352,,viz_men_age,Average number of days fruit is consumed in a typical week,Men,11.43
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 2,2015,Estimated,12.87,,viz_men_age,Average number of days fruit is consumed in a typical week,Men,11.43
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 3,2015,Estimated,2.734,,viz_men_age,Average number of days fruit is consumed in a typical week,Men,11.43
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 4,2015,Estimated,12.46,,viz_men_age,Average number of days fruit is consumed in a typical week,Men,11.43
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Men,2015,Estimated,5.634,,viz_sex_area,Average number of days fruit is consumed in a typical week,Men,11.43
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Men,2015,Estimated,2.467,,viz_sex_area,Average number of days fruit is consumed in a typical week,Men,11.43
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Women,2015,Estimated,7.546,,viz_sex_area,Average number of days fruit is consumed in a typical week,Women,6.592
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Women,2015,Estimated,1.421,,viz_sex_area,Average number of days fruit is consumed in a typical week,Women,6.592
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 1,2015,Estimated,8.059,,viz_age_area,Average number of days fruit is consumed in a typical week,Urban,11.12
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 1,2015,Estimated,10.17,,viz_age_area,Average number of days fruit is consumed in a typical week,Rural,9.015
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 2,2015,Estimated,4.206,,viz_age_area,Average number of days fruit is consumed in a typical week,Urban,11.12
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 2,2015,Estimated,6.62,,viz_age_area,Average number of days fruit is consumed in a typical week,Rural,9.015
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 3,2015,Estimated,2.537,,viz_age_area,Average number of days fruit is consumed in a typical week,Urban,11.12
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 3,2015,Estimated,6.223,,viz_age_area,Average number of days fruit is consumed in a typical week,Rural,9.015
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 4,2015,Estimated,10.17,,viz_age_area,Average number of days fruit is consumed in a typical week,Urban,11.12
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 4,2015,Estimated,12.61,,viz_age_area,Average number of days fruit is consumed in a typical week,Rural,9.015
Average number of days fruit is consumed in a typical week,Average days with fruits,Total,Total,2015,Lower Bound,11.71,,,,"",
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Men,2015,Lower Bound,6.472,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Women,2015,Lower Bound,1.183,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 1,2015,Lower Bound,1.985,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 2,2015,Lower Bound,1.262,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 3,2015,Lower Bound,11.43,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 4,2015,Lower Bound,6.592,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Urban,2015,Lower Bound,11.76,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Rural,2015,Lower Bound,7.268,,,,Total,11.71
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 1,2015,Lower Bound,6.925,,,,Women,1.183
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 2,2015,Lower Bound,4.239,,,,Women,1.183
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 3,2015,Lower Bound,11.12,,,,Women,1.183
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 4,2015,Lower Bound,9.015,,,,Women,1.183
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 1,2015,Lower Bound,2.188,,,,Men,6.472
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 2,2015,Lower Bound,2.013,,,,Men,6.472
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 3,2015,Lower Bound,10.97,,,,Men,6.472
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 4,2015,Lower Bound,5.514,,,,Men,6.472
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Men,2015,Lower Bound,2.352,,,,Men,6.472
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Men,2015,Lower Bound,12.87,,,,Men,6.472
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Women,2015,Lower Bound,2.734,,,,Women,1.183
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Women,2015,Lower Bound,12.46,,,,Women,1.183
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 1,2015,Lower Bound,5.634,,,,Urban,11.76
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 1,2015,Lower Bound,2.467,,,,Rural,7.268
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 2,2015,Lower Bound,7.546,,,,Urban,11.76
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 2,2015,Lower Bound,1.421,,,,Rural,7.268
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 3,2015,Lower Bound,8.059,,,,Urban,11.76
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 3,2015,Lower Bound,10.17,,,,Rural,7.268
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 4,2015,Lower Bound,4.206,,,,Urban,11.76
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 4,2015,Lower Bound,6.62,,,,Rural,7.268
Average number of days fruit is consumed in a typical week,Average days with fruits,Total,Total,2015,Upper Bound,2.537,,,,"",
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Men,2015,Upper Bound,6.223,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Women,2015,Upper Bound,10.17,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 1,2015,Upper Bound,12.61,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 2,2015,Upper Bound,11.71,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 3,2015,Upper Bound,6.472,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 4,2015,Upper Bound,1.183,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Urban,2015,Upper Bound,1.985,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Rural,2015,Upper Bound,1.262,,,,Total,2.537
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 1,2015,Upper Bound,11.43,,,,Women,10.17
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 2,2015,Upper Bound,6.592,,,,Women,10.17
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 3,2015,Upper Bound,11.76,,,,Women,10.17
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 4,2015,Upper Bound,7.268,,,,Women,10.17
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 1,2015,Upper Bound,6.925,,,,Men,6.223
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 2,2015,Upper Bound,4.239,,,,Men,6.223
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 3,2015,Upper Bound,11.12,,,,Men,6.223
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Men Age Group 4,2015,Upper Bound,9.015,,,,Men,6.223
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Men,2015,Upper Bound,2.188,,,,Men,6.223
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Men,2015,Upper Bound,2.013,,,,Men,6.223
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Urban Women,2015,Upper Bound,10.97,,,,Women,10.17
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Area,Rural Women,2015,Upper Bound,5.514,,,,Women,10.17
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 1,2015,Upper Bound,2.352,,,,Urban,1.985
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 1,2015,Upper Bound,12.87,,,,Rural,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 2,2015,Upper Bound,2.734,,,,Urban,1.985
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 2,2015,Upper Bound,12.46,,,,Rural,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 3,2015,Upper Bound,5.634,,,,Urban,1.985
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 3,2015,Upper Bound,2.467,,,,Rural,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Urban Age Group 4,2015,Upper Bound,7.546,,,,Urban,1.985
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural Age Group 4,2015,Lower Bound,1.421,,,,Rural,7.268
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Total,Total,2015,Estimated,8.059,,viz_total,Average number of days vegetables are consumed in a typical week,"",
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Men,2015,Estimated,10.17,,viz_sex,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Women,2015,Estimated,4.206,,viz_sex,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 1,2015,Estimated,6.62,,viz_age,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 2,2015,Estimated,2.537,,viz_age,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 3,2015,Estimated,6.223,,viz_age,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 4,2015,Estimated,10.17,,viz_age,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Urban,2015,Estimated,12.61,,viz_area,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Rural,2015,Estimated,11.71,,viz_area,Average number of days vegetables are consumed in a typical week,Total,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 1,2015,Estimated,6.472,,viz_women_age,Average number of days vegetables are consumed in a typical week,Women,4.206
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 2,2015,Estimated,1.183,,viz_women_age,Average number of days vegetables are consumed in a typical week,Women,4.206
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 3,2015,Estimated,1.985,,viz_women_age,Average number of days vegetables are consumed in a typical week,Women,4.206
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 4,2015,Estimated,1.262,,viz_women_age,Average number of days vegetables are consumed in a typical week,Women,4.206
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 1,2015,Estimated,11.43,,viz_men_age,Average number of days vegetables are consumed in a typical week,Men,10.17
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 2,2015,Estimated,6.592,,viz_men_age,Average number of days vegetables are consumed in a typical week,Men,10.17
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 3,2015,Estimated,11.76,,viz_men_age,Average number of days vegetables are consumed in a typical week,Men,10.17
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 4,2015,Estimated,7.268,,viz_men_age,Average number of days vegetables are consumed in a typical week,Men,10.17
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Urban Men,2015,Estimated,6.925,,viz_sex_area,Average number of days vegetables are consumed in a typical week,Men,10.17
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Men,2015,Estimated,4.239,,viz_sex_area,Average number of days vegetables are consumed in a typical week,Men,10.17
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Urban Women,2015,Estimated,11.12,,viz_sex_area,Average number of days vegetables are consumed in a typical week,Women,4.206
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Women,2015,Estimated,9.015,,viz_sex_area,Average number of days vegetables are consumed in a typical week,Women,4.206
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 1,2015,Estimated,2.188,,viz_age_area,Average number of days vegetables are consumed in a typical week,Urban,12.61
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 1,2015,Estimated,2.013,,viz_age_area,Average number of days vegetables are consumed in a typical week,Rural,11.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 2,2015,Estimated,10.97,,viz_age_area,Average number of days vegetables are consumed in a typical week,Urban,12.61
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 2,2015,Estimated,5.514,,viz_age_area,Average number of days vegetables are consumed in a typical week,Rural,11.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 3,2015,Estimated,2.352,,viz_age_area,Average number of days vegetables are consumed in a typical week,Urban,12.61
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 3,2015,Estimated,12.87,,viz_age_area,Average number of days vegetables are consumed in a typical week,Rural,11.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 4,2015,Estimated,2.734,,viz_age_area,Average number of days vegetables are consumed in a typical week,Urban,12.61
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 4,2015,Estimated,12.46,,viz_age_area,Average number of days vegetables are consumed in a typical week,Rural,11.71
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Total,Total,2015,Lower Bound,5.634,,,,"",
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Men,2015,Lower Bound,2.467,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Women,2015,Lower Bound,7.546,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 1,2015,Lower Bound,1.421,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 2,2015,Lower Bound,8.059,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 3,2015,Lower Bound,10.17,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 4,2015,Lower Bound,4.206,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Urban,2015,Lower Bound,6.62,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Rural,2015,Lower Bound,2.537,,,,Total,5.634
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 1,2015,Lower Bound,6.223,,,,Women,7.546
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 2,2015,Lower Bound,10.17,,,,Women,7.546
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 3,2015,Lower Bound,12.61,,,,Women,7.546
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 4,2015,Lower Bound,11.71,,,,Women,7.546
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 1,2015,Lower Bound,6.472,,,,Men,2.467
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 2,2015,Lower Bound,1.183,,,,Men,2.467
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 3,2015,Lower Bound,1.985,,,,Men,2.467
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 4,2015,Lower Bound,1.262,,,,Men,2.467
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Urban Men,2015,Lower Bound,11.43,,,,Men,2.467
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Men,2015,Lower Bound,6.592,,,,Men,2.467
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Urban Women,2015,Lower Bound,11.76,,,,Women,7.546
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Women,2015,Lower Bound,7.268,,,,Women,7.546
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 1,2015,Lower Bound,6.925,,,,Urban,6.62
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 1,2015,Lower Bound,4.239,,,,Rural,2.537
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 2,2015,Lower Bound,11.12,,,,Urban,6.62
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 2,2015,Lower Bound,9.015,,,,Rural,2.537
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 3,2015,Lower Bound,2.188,,,,Urban,6.62
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 3,2015,Lower Bound,2.013,,,,Rural,2.537
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 4,2015,Lower Bound,10.97,,,,Urban,6.62
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 4,2015,Lower Bound,5.514,,,,Rural,2.537
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Total,Total,2015,Upper Bound,2.352,,,,"",
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Men,2015,Upper Bound,12.87,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex,Women,2015,Upper Bound,2.734,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 1,2015,Upper Bound,12.46,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 2,2015,Upper Bound,5.634,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 3,2015,Upper Bound,2.467,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age,Age Group 4,2015,Upper Bound,7.546,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Urban,2015,Upper Bound,1.421,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Area,Rural,2015,Upper Bound,8.059,,,,Total,2.352
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 1,2015,Upper Bound,10.17,,,,Women,2.734
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 2,2015,Upper Bound,4.206,,,,Women,2.734
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 3,2015,Upper Bound,6.62,,,,Women,2.734
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Women Age Group 4,2015,Upper Bound,2.537,,,,Women,2.734
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 1,2015,Upper Bound,6.223,,,,Men,12.87
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 2,2015,Upper Bound,10.17,,,,Men,12.87
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 3,2015,Upper Bound,12.61,,,,Men,12.87
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Age,Men Age Group 4,2015,Upper Bound,11.71,,,,Men,12.87
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Urban Men,2015,Upper Bound,6.472,,,,Men,12.87
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Men,2015,Upper Bound,1.183,,,,Men,12.87
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Urban Women,2015,Upper Bound,1.985,,,,Women,2.734
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Sex by Area,Rural Women,2015,Upper Bound,1.262,,,,Women,2.734
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 1,2015,Upper Bound,11.43,,,,Urban,1.421
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 1,2015,Upper Bound,6.592,,,,Rural,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 2,2015,Upper Bound,11.76,,,,Urban,1.421
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 2,2015,Upper Bound,7.268,,,,Rural,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 3,2015,Upper Bound,6.925,,,,Urban,1.421
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 3,2015,Upper Bound,4.239,,,,Rural,8.059
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Urban Age Group 4,2015,Upper Bound,11.12,,,,Urban,1.421
Average number of days vegetables are consumed in a typical week,Average days with vegetables,Age by Area,Rural Age Group 4,2015,Lower Bound,9.015,,,,Rural,2.537
Average number of servings of fruit per day,Average servings of fruit,Total,Total,2015,Estimated,2.188,,viz_total,Average number of servings of fruit per day,"",
Average number of servings of fruit per day,Average servings of fruit,Sex,Men,2015,Estimated,2.013,,viz_sex,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Sex,Women,2015,Estimated,10.97,,viz_sex,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Age,Age Group 1,2015,Estimated,5.514,,viz_age,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Age,Age Group 2,2015,Estimated,2.352,,viz_age,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Age,Age Group 3,2015,Estimated,12.87,,viz_age,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Age,Age Group 4,2015,Estimated,2.734,,viz_age,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Area,Urban,2015,Estimated,12.46,,viz_area,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Area,Rural,2015,Estimated,5.634,,viz_area,Average number of servings of fruit per day,Total,2.188
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Women Age Group 1,2015,Estimated,2.467,,viz_women_age,Average number of servings of fruit per day,Women,10.97
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Women Age Group 2,2015,Estimated,7.546,,viz_women_age,Average number of servings of fruit per day,Women,10.97
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Women Age Group 3,2015,Estimated,1.421,,viz_women_age,Average number of servings of fruit per day,Women,10.97
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Women Age Group 4,2015,Estimated,8.059,,viz_women_age,Average number of servings of fruit per day,Women,10.97
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Men Age Group 1,2015,Estimated,10.17,,viz_men_age,Average number of servings of fruit per day,Men,2.013
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Men Age Group 2,2015,Estimated,4.206,,viz_men_age,Average number of servings of fruit per day,Men,2.013
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Men Age Group 3,2015,Estimated,6.62,,viz_men_age,Average number of servings of fruit per day,Men,2.013
Average number of servings of fruit per day,Average servings of fruit,Sex by Age,Men Age Group 4,2015,Estimated,2.537,,viz_men_age,Average number of servings of fruit per day,Men,2.013
Average number of servings of fruit per day,Average servings of fruit,Sex by Area,Urban Men,2015,Estimated,6.223,,viz_sex_area,Average number of servings of fruit per day,Men,2.013
Average number of servings of fruit per day,Average servings of fruit,Sex by Area,Rural Men,2015,Estimated,10.17,,viz_sex_area,Average number of servings of fruit per day,Men,2.013
