Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Mean FBG,Urban,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Urban 30-49 - Mean FBG,Urban,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Mean FBG,Urban,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Mean FBG,Urban,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Urban 50-69 - Mean FBG,Urban,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Mean FBG,Urban,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Mean FBG,Urban,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Urban  18-69 - Mean FBG,Urban,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Mean FBG,Urban,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Mean FBG,Urban,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Area,Rural,2015,Estimated,84.6,,viz_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Rural - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Area,Rural,2015,Lower Bound,82.9,,,,,Rural - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Area,Rural,2015,Upper Bound,86.4,,,,,Rural - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Area,Urban,2015,Estimated,85.8,,viz_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Urban - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Area,Urban,2015,Lower Bound,83.9,,,,,Urban - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Area,Urban,2015,Upper Bound,87.7,,,,,Urban - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex,Men,2015,Estimated,85.4,,viz_sex,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",table_total,Men - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex,Men,2015,Lower Bound,83.7,,,,table_total,Men - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex,Men,2015,Upper Bound,87.2,,,,table_total,Men - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex,Women,2015,Estimated,84.7,,viz_sex,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",table_total,Women - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex,Women,2015,Lower Bound,83.1,,,,table_total,Women - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex,Women,2015,Upper Bound,86.2,,,,table_total,Women - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 18-29,2015,Estimated,80.6,,viz_men_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Men 18-29 - Mean FBG,Men,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 18-29,2015,Lower Bound,77.8,,,,,Men 18-29 - Mean FBG,Men,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 18-29,2015,Upper Bound,83.4,,,,,Men 18-29 - Mean FBG,Men,6.198
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 30-49,2015,Estimated,86.4,,viz_men_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Men 30-49 - Mean FBG,Men,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 30-49,2015,Lower Bound,84,,,,,Men 30-49 - Mean FBG,Men,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 30-49,2015,Upper Bound,88.9,,,,,Men 30-49 - Mean FBG,Men,6.198
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 50-69,2015,Estimated,90.1,,viz_men_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Men 50-69 - Mean FBG,Men,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 50-69,2015,Lower Bound,87.2,,,,,Men 50-69 - Mean FBG,Men,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men 50-69,2015,Upper Bound,93,,,,,Men 50-69 - Mean FBG,Men,6.198
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men  18-69,2015,Estimated,85.4,,viz_men_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Men  18-69 - Mean FBG,Men,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men  18-69,2015,Lower Bound,83.7,,,,,Men  18-69 - Mean FBG,Men,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Men  18-69,2015,Upper Bound,87.2,,,,,Men  18-69 - Mean FBG,Men,6.198
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 18-29,2015,Estimated,77.6,,viz_women_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Women 18-29 - Mean FBG,Women,8.573
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 18-29,2015,Lower Bound,75.6,,,,,Women 18-29 - Mean FBG,Women,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 18-29,2015,Upper Bound,79.6,,,,,Women 18-29 - Mean FBG,Women,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 30-49,2015,Estimated,84.3,,viz_women_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Women 30-49 - Mean FBG,Women,8.573
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 30-49,2015,Lower Bound,82.1,,,,,Women 30-49 - Mean FBG,Women,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 30-49,2015,Upper Bound,86.5,,,,,Women 30-49 - Mean FBG,Women,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 50-69,2015,Estimated,93.8,,viz_women_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Women 50-69 - Mean FBG,Women,8.573
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 50-69,2015,Lower Bound,90.7,,,,,Women 50-69 - Mean FBG,Women,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women 50-69,2015,Upper Bound,96.8,,,,,Women 50-69 - Mean FBG,Women,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women  18-69,2015,Estimated,84.7,,viz_women_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Women  18-69 - Mean FBG,Women,8.573
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women  18-69,2015,Lower Bound,83.1,,,,,Women  18-69 - Mean FBG,Women,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Age,Women  18-69,2015,Upper Bound,86.2,,,,,Women  18-69 - Mean FBG,Women,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Rural Men - Mean FBG,Men,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Rural Men,2015,Lower Bound,,,,,,Rural Men - Mean FBG,Men,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Rural Men,2015,Upper Bound,,,,,,Rural Men - Mean FBG,Men,6.198
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Rural Women - Mean FBG,Women,8.573
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Rural Women,2015,Lower Bound,,,,,,Rural Women - Mean FBG,Women,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Rural Women,2015,Upper Bound,,,,,,Rural Women - Mean FBG,Women,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Urban Men - Mean FBG,Men,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Urban Men,2015,Lower Bound,,,,,,Urban Men - Mean FBG,Men,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Urban Men,2015,Upper Bound,,,,,,Urban Men - Mean FBG,Men,6.198
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Urban Women - Mean FBG,Women,8.573
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Urban Women,2015,Lower Bound,,,,,,Urban Women - Mean FBG,Women,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Sex by Area,Urban Women,2015,Upper Bound,,,,,,Urban Women - Mean FBG,Women,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Total,Total,2015,Estimated,85,,viz_total,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",table_total,1.Total - Mean FBG,,
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Total,Total,2015,Lower Bound,83.7,,,,table_total,1.Total - Mean FBG,,
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Total,Total,2015,Upper Bound,86.4,,,,table_total,1.Total - Mean FBG,,
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,18-29,2015,Estimated,55.3,44035001,viz_age,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,18-29 - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,18-29,2015,Lower Bound,7,9310010,,,,18-29 - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,18-29,2015,Upper Bound,100,16338555,,,,18-29 - Under treatment,Total,44.64
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,30-49,2015,Estimated,56.2,114159782,viz_age,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,30-49 - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,30-49,2015,Lower Bound,32.9,114295731,,,,30-49 - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,30-49,2015,Upper Bound,79.5,20330501,,,,30-49 - Under treatment,Total,44.64
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,50-69,2015,Estimated,74.6,62462221,viz_age,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,50-69 - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,50-69,2015,Lower Bound,61.7,55170430,,,,50-69 - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age,50-69,2015,Upper Bound,87.6,44035001,,,,50-69 - Under treatment,Total,44.64
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age, 18-69,2015,Estimated,67.2,72448267,viz_age,Percentage who are currently taking any medication for diabetes prescribed by a health worker,, 18-69 - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age, 18-69,2015,Lower Bound,54.9,28240241,,,, 18-69 - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age, 18-69,2015,Upper Bound,79.5,114159782,,,, 18-69 - Under treatment,Total,44.64
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 18-29,2015,Estimated,,55170430,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Rural 18-29 - Under treatment,Rural,7.533
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 18-29,2015,Lower Bound,,44035001,,,,Rural 18-29 - Under treatment,Rural,13.22
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 18-29,2015,Upper Bound,,9310010,,,,Rural 18-29 - Under treatment,Rural,58.62
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 30-49,2015,Estimated,,45172026,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Rural 30-49 - Under treatment,Rural,7.533
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 30-49,2015,Lower Bound,,62462221,,,,Rural 30-49 - Under treatment,Rural,13.22
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 30-49,2015,Upper Bound,,55170430,,,,Rural 30-49 - Under treatment,Rural,58.62
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 50-69,2015,Estimated,,20330501,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Rural 50-69 - Under treatment,Rural,7.533
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 50-69,2015,Lower Bound,,17178965,,,,Rural 50-69 - Under treatment,Rural,13.22
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural 50-69,2015,Upper Bound,,45172026,,,,Rural 50-69 - Under treatment,Rural,58.62
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural  18-69,2015,Estimated,,114159782,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Rural  18-69 - Under treatment,Rural,7.533
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural  18-69,2015,Lower Bound,,114295731,,,,Rural  18-69 - Under treatment,Rural,13.22
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Rural  18-69,2015,Lower Bound,,20330501,,,,Rural  18-69 - Under treatment,Rural,13.22
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 18-29,2015,Estimated,,114295731,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Urban 18-29 - Under treatment,Urban,13.9
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 18-29,2015,Lower Bound,,20330501,,,,Urban 18-29 - Under treatment,Urban,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 18-29,2015,Upper Bound,,17178965,,,,Urban 18-29 - Under treatment,Urban,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 30-49,2015,Estimated,,28240241,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Urban 30-49 - Under treatment,Urban,13.9
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 30-49,2015,Lower Bound,,114159782,,,,Urban 30-49 - Under treatment,Urban,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 30-49,2015,Upper Bound,,114295731,,,,Urban 30-49 - Under treatment,Urban,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 50-69,2015,Estimated,,16338555,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Urban 50-69 - Under treatment,Urban,13.9
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 50-69,2015,Lower Bound,,72448267,,,,Urban 50-69 - Under treatment,Urban,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban 50-69,2015,Upper Bound,,28240241,,,,Urban 50-69 - Under treatment,Urban,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban  18-69,2015,Estimated,,44035001,viz_age_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Urban  18-69 - Under treatment,Urban,13.9
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban  18-69,2015,Lower Bound,,9310010,,,,Urban  18-69 - Under treatment,Urban,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Age by Area,Urban  18-69,2015,Upper Bound,,16338555,,,,Urban  18-69 - Under treatment,Urban,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Area,Rural,2015,Estimated,60.5,9310010,viz_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Rural - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Area,Rural,2015,Lower Bound,49.4,16338555,,,,Rural - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Area,Rural,2015,Upper Bound,71.5,72448267,,,,Rural - Under treatment,Total,44.64
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Area,Urban,2015,Estimated,73.9,17178965,viz_area,Percentage who are currently taking any medication for diabetes prescribed by a health worker,,Urban - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Area,Urban,2015,Lower Bound,60.4,45172026,,,,Urban - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Area,Urban,2015,Upper Bound,87.4,62462221,,,,Urban - Under treatment,Total,44.64
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Sex,Men,2015,Estimated,75.3,16338555,viz_sex,Percentage who are currently taking any medication for diabetes prescribed by a health worker,table_total,Men - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Sex,Men,2015,Lower Bound,60.8,72448267,,,table_total,Men - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Sex,Men,2015,Upper Bound,89.8,28240241,,,table_total,Men - Under treatment,Total,44.64
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Sex,Women,2015,Estimated,61.6,20330501,viz_sex,Percentage who are currently taking any medication for diabetes prescribed by a health worker,table_total,Women - Under treatment,Total,36.55
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Sex,Women,2015,Lower Bound,44.1,17178965,,,table_total,Women - Under treatment,Total,50.54
Percentage who are currently taking any medication for diabetes prescribed by a health worker,Under treatment,Sex,Women,2015,Upper Bound,79.2,45172026,,,table_total,Women - Under treatment,Total,44.64
