Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Percentage who had their blood glucose measured,Never measured,Age,Age Group 3,2010,Lower Bound,4.704,5813658,,,,Age Group 3 - Never measured,Total,96.69
Percentage who had their blood glucose measured,Never measured,Age,Age Group 4,2010,Lower Bound,38.1,47087666,,,,Age Group 4 - Never measured,Total,96.69
Percentage who had their blood glucose measured,Never measured,Area,Urban,2010,Lower Bound,14.96,18489015,,,,Urban - Never measured,Total,96.69
Percentage who had their blood glucose measured,Never measured,Area,Rural,2010,Lower Bound,16.53,20429373,,,,Rural - Never measured,Total,96.69
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 1,2010,Lower Bound,70.98,87723951,,,,Women Age Group 1 - Never measured,Women,66.89
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 2,2010,Lower Bound,15.56,19230553,,,,Women Age Group 2 - Never measured,Women,66.89
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 3,2010,Lower Bound,75.44,93236050,,,,Women Age Group 3 - Never measured,Women,66.89
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 4,2010,Lower Bound,96.69,119498856,,,,Women Age Group 4 - Never measured,Women,66.89
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 1,2010,Lower Bound,49.59,61288119,,,,Men Age Group 1 - Never measured,Men,49.59
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 2,2010,Lower Bound,66.89,82669133,,,,Men Age Group 2 - Never measured,Men,49.59
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 3,2010,Lower Bound,69.48,85870105,,,,Men Age Group 3 - Never measured,Men,49.59
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 4,2010,Lower Bound,2.477,3061316,,,,Men Age Group 4 - Never measured,Men,49.59
Percentage who had their blood glucose measured,Never measured,Sex by Area,Urban Men,2010,Lower Bound,4.704,5813658,,,,Urban Men - Never measured,Men,49.59
Percentage who had their blood glucose measured,Never measured,Sex by Area,Rural Men,2010,Lower Bound,38.1,47087666,,,,Rural Men - Never measured,Men,49.59
Percentage who had their blood glucose measured,Never measured,Sex by Area,Urban Women,2010,Lower Bound,14.96,18489015,,,,Urban Women - Never measured,Women,66.89
Percentage who had their blood glucose measured,Never measured,Sex by Area,Rural Women,2010,Lower Bound,16.53,20429373,,,,Rural Women - Never measured,Women,66.89
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 1,2010,Lower Bound,70.98,87723951,,,,Urban Age Group 1 - Never measured,Urban,14.96
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 1,2010,Lower Bound,15.56,19230553,,,,Rural Age Group 1 - Never measured,Rural,16.53
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 2,2010,Lower Bound,75.44,93236050,,,,Urban Age Group 2 - Never measured,Urban,14.96
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 2,2010,Lower Bound,96.69,119498856,,,,Rural Age Group 2 - Never measured,Rural,16.53
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 3,2010,Lower Bound,49.59,61288119,,,,Urban Age Group 3 - Never measured,Urban,14.96
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 3,2010,Lower Bound,66.89,82669133,,,,Rural Age Group 3 - Never measured,Rural,16.53
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 4,2010,Lower Bound,69.48,85870105,,,,Urban Age Group 4 - Never measured,Urban,14.96
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 4,2010,Lower Bound,2.477,3061316,,,,Rural Age Group 4 - Never measured,Rural,16.53
Percentage who had their blood glucose measured,Never measured,Total,Total,2010,Upper Bound,4.704,5813658,,,table_total_2010,1.Total - Never measured,,
Percentage who had their blood glucose measured,Never measured,Sex,Men,2010,Upper Bound,38.1,47087666,,,table_total_2010,Men - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Sex,Women,2010,Upper Bound,14.96,18489015,,,table_total_2010,Women - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Age,Age Group 1,2010,Upper Bound,16.53,20429373,,,,Age Group 1 - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Age,Age Group 2,2010,Upper Bound,70.98,87723951,,,,Age Group 2 - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Age,Age Group 3,2010,Upper Bound,15.56,19230553,,,,Age Group 3 - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Age,Age Group 4,2010,Upper Bound,75.44,93236050,,,,Age Group 4 - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Area,Urban,2010,Upper Bound,96.69,119498856,,,,Urban - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Area,Rural,2010,Upper Bound,49.59,61288119,,,,Rural - Never measured,Total,4.704
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 1,2010,Upper Bound,66.89,82669133,,,,Women Age Group 1 - Never measured,Women,14.96
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 2,2010,Upper Bound,69.48,85870105,,,,Women Age Group 2 - Never measured,Women,14.96
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 3,2010,Upper Bound,2.477,3061316,,,,Women Age Group 3 - Never measured,Women,14.96
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 4,2010,Upper Bound,4.704,5813658,,,,Women Age Group 4 - Never measured,Women,14.96
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 1,2010,Upper Bound,38.1,47087666,,,,Men Age Group 1 - Never measured,Men,38.1
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 2,2010,Upper Bound,14.96,18489015,,,,Men Age Group 2 - Never measured,Men,38.1
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 3,2010,Upper Bound,16.53,20429373,,,,Men Age Group 3 - Never measured,Men,38.1
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 4,2010,Upper Bound,70.98,87723951,,,,Men Age Group 4 - Never measured,Men,38.1
Percentage who had their blood glucose measured,Never measured,Sex by Area,Urban Men,2010,Upper Bound,15.56,19230553,,,,Urban Men - Never measured,Men,38.1
Percentage who had their blood glucose measured,Never measured,Sex by Area,Rural Men,2010,Upper Bound,75.44,93236050,,,,Rural Men - Never measured,Men,38.1
Percentage who had their blood glucose measured,Never measured,Sex by Area,Urban Women,2010,Upper Bound,96.69,119498856,,,,Urban Women - Never measured,Women,14.96
Percentage who had their blood glucose measured,Never measured,Sex by Area,Rural Women,2010,Upper Bound,49.59,61288119,,,,Rural Women - Never measured,Women,14.96
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 1,2010,Upper Bound,66.89,82669133,,,,Urban Age Group 1 - Never measured,Urban,96.69
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 1,2010,Upper Bound,69.48,85870105,,,,Rural Age Group 1 - Never measured,Rural,49.59
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 2,2010,Upper Bound,2.477,3061316,,,,Urban Age Group 2 - Never measured,Urban,96.69
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 2,2010,Upper Bound,4.704,5813658,,,,Rural Age Group 2 - Never measured,Rural,49.59
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 3,2010,Upper Bound,38.1,47087666,,,,Urban Age Group 3 - Never measured,Urban,96.69
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 3,2010,Upper Bound,14.96,18489015,,,,Rural Age Group 3 - Never measured,Rural,49.59
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 4,2010,Upper Bound,16.53,20429373,,,,Urban Age Group 4 - Never measured,Urban,96.69
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 4,2010,Lower Bound,70.98,87723951,,,,Rural Age Group 4 - Never measured,Rural,16.53
Percentage who had their blood glucose measured,Measured,Total,Total,2010,Estimated,15.56,19230553,viz_total,Percentage who had their blood glucose measured,table_total_2010,1.Total - Measured,,
Percentage who had their blood glucose measured,Measured,Sex,Men,2010,Estimated,75.44,93236050,viz_sex_2010,Percentage who had their blood glucose measured,table_total_2010,Men - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Sex,Women,2010,Estimated,96.69,119498856,viz_sex_2010,Percentage who had their blood glucose measured,table_total_2010,Women - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Age,Age Group 1,2010,Estimated,49.59,61288119,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 1 - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Age,Age Group 2,2010,Estimated,66.89,82669133,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 2 - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Age,Age Group 3,2010,Estimated,69.48,85870105,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 3 - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Age,Age Group 4,2010,Estimated,2.477,3061316,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 4 - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Area,Urban,2010,Estimated,4.704,5813658,viz_area_2010,Percentage who had their blood glucose measured,,Urban - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Area,Rural,2010,Estimated,38.1,47087666,viz_area_2010,Percentage who had their blood glucose measured,,Rural - Measured,Total,15.56
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 1,2010,Estimated,14.96,18489015,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 1 - Measured,Women,96.69
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 2,2010,Estimated,16.53,20429373,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 2 - Measured,Women,96.69
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 3,2010,Estimated,70.98,87723951,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 3 - Measured,Women,96.69
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 4,2010,Estimated,15.56,19230553,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 4 - Measured,Women,96.69
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 1,2010,Estimated,75.44,93236050,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 1 - Measured,Men,75.44
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 2,2010,Estimated,96.69,119498856,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 2 - Measured,Men,75.44
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 3,2010,Estimated,49.59,61288119,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 3 - Measured,Men,75.44
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 4,2010,Estimated,66.89,82669133,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 4 - Measured,Men,75.44
Percentage who had their blood glucose measured,Measured,Sex by Area,Urban Men,2010,Estimated,69.48,85870105,viz_sex_area_2010,Percentage who had their blood glucose measured,,Urban Men - Measured,Men,75.44
Percentage who had their blood glucose measured,Measured,Sex by Area,Rural Men,2010,Estimated,2.477,3061316,viz_sex_area_2010,Percentage who had their blood glucose measured,,Rural Men - Measured,Men,75.44
Percentage who had their blood glucose measured,Measured,Sex by Area,Urban Women,2010,Estimated,4.704,5813658,viz_sex_area_2010,Percentage who had their blood glucose measured,,Urban Women - Measured,Women,96.69
Percentage who had their blood glucose measured,Measured,Sex by Area,Rural Women,2010,Estimated,38.1,47087666,viz_sex_area_2010,Percentage who had their blood glucose measured,,Rural Women - Measured,Women,96.69
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 1,2010,Estimated,14.96,18489015,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 1 - Measured,Urban,4.704
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 1,2010,Estimated,16.53,20429373,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 1 - Measured,Rural,38.1
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 2,2010,Estimated,70.98,87723951,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 2 - Measured,Urban,4.704
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 2,2010,Estimated,15.56,19230553,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 2 - Measured,Rural,38.1
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 3,2010,Estimated,75.44,93236050,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 3 - Measured,Urban,4.704
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 3,2010,Estimated,96.69,119498856,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 3 - Measured,Rural,38.1
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 4,2010,Estimated,49.59,61288119,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 4 - Measured,Urban,4.704
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 4,2010,Estimated,66.89,82669133,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 4 - Measured,Rural,38.1
Percentage who had their blood glucose measured,Measured,Total,Total,2010,Lower Bound,69.48,85870105,,,table_total_2010,1.Total - Measured,,
Percentage who had their blood glucose measured,Measured,Sex,Men,2010,Lower Bound,2.477,3061316,,,table_total_2010,Men - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Sex,Women,2010,Lower Bound,4.704,5813658,,,table_total_2010,Women - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Age,Age Group 1,2010,Lower Bound,38.1,47087666,,,,Age Group 1 - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Age,Age Group 2,2010,Lower Bound,14.96,18489015,,,,Age Group 2 - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Age,Age Group 3,2010,Lower Bound,16.53,20429373,,,,Age Group 3 - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Age,Age Group 4,2010,Lower Bound,70.98,87723951,,,,Age Group 4 - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Area,Urban,2010,Lower Bound,15.56,19230553,,,,Urban - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Area,Rural,2010,Lower Bound,75.44,93236050,,,,Rural - Measured,Total,69.48
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 1,2010,Lower Bound,96.69,119498856,,,,Women Age Group 1 - Measured,Women,4.704
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 2,2010,Lower Bound,49.59,61288119,,,,Women Age Group 2 - Measured,Women,4.704
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 3,2010,Lower Bound,66.89,82669133,,,,Women Age Group 3 - Measured,Women,4.704
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 4,2010,Lower Bound,69.48,85870105,,,,Women Age Group 4 - Measured,Women,4.704
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 1,2010,Lower Bound,2.477,3061316,,,,Men Age Group 1 - Measured,Men,2.477
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 2,2010,Lower Bound,4.704,5813658,,,,Men Age Group 2 - Measured,Men,2.477
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 3,2010,Lower Bound,38.1,47087666,,,,Men Age Group 3 - Measured,Men,2.477
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 4,2010,Lower Bound,14.96,18489015,,,,Men Age Group 4 - Measured,Men,2.477
Percentage who had their blood glucose measured,Measured,Sex by Area,Urban Men,2010,Lower Bound,16.53,20429373,,,,Urban Men - Measured,Men,2.477
Percentage who had their blood glucose measured,Measured,Sex by Area,Rural Men,2010,Lower Bound,70.98,87723951,,,,Rural Men - Measured,Men,2.477
Percentage who had their blood glucose measured,Measured,Sex by Area,Urban Women,2010,Lower Bound,15.56,19230553,,,,Urban Women - Measured,Women,4.704
Percentage who had their blood glucose measured,Measured,Sex by Area,Rural Women,2010,Lower Bound,75.44,93236050,,,,Rural Women - Measured,Women,4.704
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 1,2010,Lower Bound,96.69,119498856,,,,Urban Age Group 1 - Measured,Urban,15.56
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 1,2010,Lower Bound,49.59,61288119,,,,Rural Age Group 1 - Measured,Rural,75.44
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 2,2010,Lower Bound,66.89,82669133,,,,Urban Age Group 2 - Measured,Urban,15.56
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 2,2010,Lower Bound,69.48,85870105,,,,Rural Age Group 2 - Measured,Rural,75.44
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 3,2010,Lower Bound,2.477,3061316,,,,Urban Age Group 3 - Measured,Urban,15.56
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 3,2010,Lower Bound,4.704,5813658,,,,Rural Age Group 3 - Measured,Rural,75.44
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 4,2010,Lower Bound,38.1,47087666,,,,Urban Age Group 4 - Measured,Urban,15.56
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 4,2010,Lower Bound,14.96,18489015,,,,Rural Age Group 4 - Measured,Rural,75.44
Percentage who had their blood glucose measured,Measured,Total,Total,2010,Upper Bound,16.53,20429373,,,table_total_2010,1.Total - Measured,,
Percentage who had their blood glucose measured,Measured,Sex,Men,2010,Upper Bound,70.98,87723951,,,table_total_2010,Men - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Sex,Women,2010,Upper Bound,15.56,19230553,,,table_total_2010,Women - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Age,Age Group 1,2010,Upper Bound,75.44,93236050,,,,Age Group 1 - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Age,Age Group 2,2010,Upper Bound,96.69,119498856,,,,Age Group 2 - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Age,Age Group 3,2010,Upper Bound,49.59,61288119,,,,Age Group 3 - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Age,Age Group 4,2010,Upper Bound,66.89,82669133,,,,Age Group 4 - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Area,Urban,2010,Upper Bound,69.48,85870105,,,,Urban - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Area,Rural,2010,Upper Bound,2.477,3061316,,,,Rural - Measured,Total,16.53
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 1,2010,Upper Bound,4.704,5813658,,,,Women Age Group 1 - Measured,Women,15.56
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 2,2010,Upper Bound,38.1,47087666,,,,Women Age Group 2 - Measured,Women,15.56
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 3,2010,Upper Bound,14.96,18489015,,,,Women Age Group 3 - Measured,Women,15.56
Percentage who had their blood glucose measured,Measured,Sex by Age,Women Age Group 4,2010,Upper Bound,16.53,20429373,,,,Women Age Group 4 - Measured,Women,15.56
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 1,2010,Upper Bound,70.98,87723951,,,,Men Age Group 1 - Measured,Men,70.98
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 2,2010,Upper Bound,15.56,19230553,,,,Men Age Group 2 - Measured,Men,70.98
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 3,2010,Upper Bound,75.44,93236050,,,,Men Age Group 3 - Measured,Men,70.98
Percentage who had their blood glucose measured,Measured,Sex by Age,Men Age Group 4,2010,Upper Bound,96.69,119498856,,,,Men Age Group 4 - Measured,Men,70.98
Percentage who had their blood glucose measured,Measured,Sex by Area,Urban Men,2010,Upper Bound,49.59,61288119,,,,Urban Men - Measured,Men,70.98
Percentage who had their blood glucose measured,Measured,Sex by Area,Rural Men,2010,Upper Bound,66.89,82669133,,,,Rural Men - Measured,Men,70.98
Percentage who had their blood glucose measured,Measured,Sex by Area,Urban Women,2010,Upper Bound,69.48,85870105,,,,Urban Women - Measured,Women,15.56
Percentage who had their blood glucose measured,Measured,Sex by Area,Rural Women,2010,Upper Bound,2.477,3061316,,,,Rural Women - Measured,Women,15.56
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 1,2010,Upper Bound,4.704,5813658,,,,Urban Age Group 1 - Measured,Urban,69.48
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 1,2010,Upper Bound,38.1,47087666,,,,Rural Age Group 1 - Measured,Rural,2.477
Percentage who had their blood glucose measured,Measured,Age by Area,Urban Age Group 2,2010,Upper Bound,14.96,18489015,,,,Urban Age Group 2 - Measured,Urban,69.48
Percentage who had their blood glucose measured,Measured,Age by Area,Rural Age Group 2,2010,Upper Bound,16.53,20429373,,,,Rural Age Group 2 - Measured,Rural,2.477
